id,type,DOM,sentence,surprisal_list,surprisal_obj
32,5,0,Martín buscó la escalera en el hospital durante dos horas.,"[('ĠMartÃŃn', 22.939151913394348), ('ĠbuscÃ³', 13.663596469937213), ('Ġla', 3.591747938338508), ('Ġescalera', 10.223200487629313), ('Ġen', 1.5903724496394693), ('Ġel', 1.659313381026102), ('Ġhospital', 9.55949054486439), ('Ġdurante', 9.279735997734308), ('Ġdos', 5.16092486808211), ('Ġhoras.', 2.2578687284075554), 18.920621803668446]",10.223200487629313
48,0,1,Samuel descubrió a la infiltrada en el museo en pocas horas.,"[('ĠSamuel', 24.889337488032908), ('ĠdescubriÃ³', 12.480194856239882), ('Ġa', 3.224029080806323), ('Ġla', 4.0262249574908076), ('Ġinfiltrada', 9.085202128495185), ('Ġen', 1.4130980198051146), ('Ġel', 1.7445722323474817), ('Ġmuseo', 9.568972980302362), ('Ġen', 2.3222800756845188), ('Ġpocas', 14.100164110193402), ('Ġhoras.', 0.9862115731867173), 18.114649875901613]",9.085202128495185
48,1,1,Samuel descubrió a una infiltrada en el museo en pocas horas.,"[('ĠSamuel', 24.889337488032908), ('ĠdescubriÃ³', 12.480194856239882), ('Ġa', 3.224029080806323), ('Ġuna', 4.641985793229878), ('Ġinfiltrada', 8.25969060850841), ('Ġen', 0.6245494125465944), ('Ġel', 1.9682805572664395), ('Ġmuseo', 10.08840186174425), ('Ġen', 2.2677486515813903), ('Ġpocas', 14.646180133597474), ('Ġhoras.', 0.9148715357736411), 18.203616157227643]",8.25969060850841
48,3,0,Samuel descubrió la infiltrada en el museo en pocas horas.,"[('ĠSamuel', 24.889337488032908), ('ĠdescubriÃ³', 12.480194856239882), ('Ġla', 3.4435064605314047), ('Ġinfiltrada', 11.083468778628232), ('Ġen', 1.47967148639009), ('Ġel', 1.747997954770018), ('Ġmuseo', 10.27485169319764), ('Ġen', 2.3525524009788676), ('Ġpocas', 13.84674285863283), ('Ġhoras.', 1.032943687979402), 17.9740403002092]",11.083468778628232
48,4,0,Samuel descubrió una infiltrada en el museo en pocas horas.,"[('ĠSamuel', 24.889337488032908), ('ĠdescubriÃ³', 12.480194856239882), ('Ġuna', 4.40175492305988), ('Ġinfiltrada', 9.568260914352368), ('Ġen', 0.6556076078614108), ('Ġel', 1.8667889514607228), ('Ġmuseo', 10.595098523577464), ('Ġen', 2.3346323677025786), ('Ġpocas', 14.401748759162802), ('Ġhoras.', 0.8765562519141821), 18.08326029039674]",9.568260914352368
48,2,1,Samuel descubrió a la tabla en el museo en pocas horas.,"[('ĠSamuel', 24.889337488032908), ('ĠdescubriÃ³', 12.480194856239882), ('Ġa', 3.224029080806323), ('Ġla', 4.0262249574908076), ('Ġtabla', 15.428339343525838), ('Ġen', 1.8042960975264235), ('Ġel', 1.9835803058698458), ('Ġmuseo', 7.950758637318247), ('Ġen', 2.336393867757294), ('Ġpocas', 14.305874622682218), ('Ġhoras.', 1.175824316074292), 18.79873563521016]",15.428339343525838
48,5,0,Samuel descubrió la tabla en el museo en pocas horas.,"[('ĠSamuel', 24.889337488032908), ('ĠdescubriÃ³', 12.480194856239882), ('Ġla', 3.4435064605314047), ('Ġtabla', 9.467262440582097), ('Ġen', 1.8904890332032736), ('Ġel', 1.8920533748551203), ('Ġmuseo', 7.73508345003844), ('Ġen', 2.379009889520132), ('Ġpocas', 14.705823716916695), ('Ġhoras.', 1.3788193084973095), 18.840790552825645]",9.467262440582097
31,0,1,Miguel recibió a la invitada en la casa en un día.,"[('ĠMiguel', 21.518747199918412), ('ĠrecibiÃ³', 14.209276783206802), ('Ġa', 3.356765978672842), ('Ġla', 3.7993392530971595), ('Ġinvitada', 10.732487896115124), ('Ġen', 1.114986048776715), ('Ġla', 2.686959078952181), ('Ġcasa', 2.6242753583136573), ('Ġen', 2.475622650281996), ('Ġun', 3.167423742997243), ('ĠdÃŃa.', 7.210993494792867), 18.276130578172136]",10.732487896115124
31,1,1,Miguel recibió a una invitada en la casa en un día.,"[('ĠMiguel', 21.518747199918412), ('ĠrecibiÃ³', 14.209276783206802), ('Ġa', 3.356765978672842), ('Ġuna', 4.920042871595945), ('Ġinvitada', 8.10911819844091), ('Ġen', 1.262772732795499), ('Ġla', 2.7981391554116035), ('Ġcasa', 2.5079189480285664), ('Ġen', 2.4748058079328072), ('Ġun', 3.1212935244869158), ('ĠdÃŃa.', 6.535323362538991), 18.560472590531333]",8.10911819844091
31,3,0,Miguel recibió la invitada en la casa en un día.,"[('ĠMiguel', 21.518747199918412), ('ĠrecibiÃ³', 14.209276783206802), ('Ġla', 2.7581356468556124), ('Ġinvitada', 20.041873014927578), ('Ġen', 1.5742921210496605), ('Ġla', 2.329563995985989), ('Ġcasa', 4.1652354384955), ('Ġen', 2.3622799385666085), ('Ġun', 3.6048347861732624), ('ĠdÃŃa.', 5.687817452606144), 18.33925440241422]",20.041873014927578
31,4,0,Miguel recibió una invitada en la casa en un día.,"[('ĠMiguel', 21.518747199918412), ('ĠrecibiÃ³', 14.209276783206802), ('Ġuna', 3.1162018061254715), ('Ġinvitada', 15.400260768015372), ('Ġen', 1.5275867289570966), ('Ġla', 2.350164077906336), ('Ġcasa', 3.6369480746729694), ('Ġen', 2.3164209044499446), ('Ġun', 3.4322182072593734), ('ĠdÃŃa.', 5.5234023823466005), 18.65333496683001]",15.400260768015372
31,2,1,Miguel recibió a la caja en la casa en un día.,"[('ĠMiguel', 21.518747199918412), ('ĠrecibiÃ³', 14.209276783206802), ('Ġa', 3.356765978672842), ('Ġla', 3.7993392530971595), ('Ġcaja', 13.155233640182441), ('Ġen', 1.490949574770861), ('Ġla', 1.56904691085955), ('Ġcasa', 5.070121812044866), ('Ġen', 2.2171228477816856), ('Ġun', 4.280226478515392), ('ĠdÃŃa.', 5.460400837769281), 18.822191317065432]",13.155233640182441
31,5,0,Miguel recibió la caja en la casa en un día.,"[('ĠMiguel', 21.518747199918412), ('ĠrecibiÃ³', 14.209276783206802), ('Ġla', 2.7581356468556124), ('Ġcaja', 10.146913111290193), ('Ġen', 1.7065603169267147), ('Ġla', 1.3161115962789902), ('Ġcasa', 5.567484631450454), ('Ġen', 2.3088060501155234), ('Ġun', 5.056223206098039), ('ĠdÃŃa.', 4.158875864031895), 18.79668835373429]",10.146913111290193
37,0,1,Isabel vió a la estudiante desde su ventana durante una mañana.,"[('ĠIsabel', 22.784924751406617), ('ĠviÃ³', 17.449546873664705), ('Ġa', 2.4970879966251793), ('Ġla', 4.433068148267773), ('Ġestudiante', 13.243984943194892), ('Ġdesde', 10.043953977524664), ('Ġsu', 3.0395931661945386), ('Ġventana', 2.159118698039243), ('Ġdurante', 10.321326220974994), ('Ġuna', 3.7238880564065333), ('ĠmaÃ±ana.', 5.174999240298119), 17.674710687757912]",13.243984943194892
37,1,1,Isabel vió a una estudiante desde su ventana durante una mañana.,"[('ĠIsabel', 22.784924751406617), ('ĠviÃ³', 17.449546873664705), ('Ġa', 2.4970879966251793), ('Ġuna', 4.330956545005696), ('Ġestudiante', 10.29014026292874), ('Ġdesde', 11.078109734733852), ('Ġsu', 3.192739589204249), ('Ġventana', 1.7668403739985472), ('Ġdurante', 10.463394897477329), ('Ġuna', 3.1293505677145363), ('ĠmaÃ±ana.', 5.119168856313827), 17.761470775638674]",10.29014026292874
37,3,0,Isabel vió la estudiante desde su ventana durante una mañana.,"[('ĠIsabel', 22.784924751406617), ('ĠviÃ³', 17.449546873664705), ('Ġla', 3.609397141935351), ('Ġestudiante', 19.269485171290633), ('Ġdesde', 10.977594818402386), ('Ġsu', 3.0934643238202013), ('Ġventana', 2.3591737330370863), ('Ġdurante', 10.783189757450687), ('Ġuna', 3.843999363907912), ('ĠmaÃ±ana.', 4.9746924226994125), 17.720356947088714]",19.269485171290633
37,4,0,Isabel vió una estudiante desde su ventana durante una mañana.,"[('ĠIsabel', 22.784924751406617), ('ĠviÃ³', 17.449546873664705), ('Ġuna', 3.9927712362102756), ('Ġestudiante', 16.150433956605667), ('Ġdesde', 11.036384679842724), ('Ġsu', 3.205726687101503), ('Ġventana', 1.688366582219007), ('Ġdurante', 10.967081862920443), ('Ġuna', 3.1361528255214624), ('ĠmaÃ±ana.', 4.9209591951597424), 17.860689974678543]",16.150433956605667
37,2,1,Isabel vió a la tormenta desde su ventana durante una mañana.,"[('ĠIsabel', 22.784924751406617), ('ĠviÃ³', 17.449546873664705), ('Ġa', 2.4970879966251793), ('Ġla', 4.433068148267773), ('Ġtormenta', 11.40348990327663), ('Ġdesde', 7.817525053556036), ('Ġsu', 3.170948355444026), ('Ġventana', 1.6818372608790007), ('Ġdurante', 10.99006975196537), ('Ġuna', 3.932707671257647), ('ĠmaÃ±ana.', 4.849190147024089), 18.070861373165435]",11.40348990327663
37,5,0,Isabel vió la tormenta desde su ventana durante una mañana.,"[('ĠIsabel', 22.784924751406617), ('ĠviÃ³', 17.449546873664705), ('Ġla', 3.609397141935351), ('Ġtormenta', 9.471077703708838), ('Ġdesde', 6.556537250540268), ('Ġsu', 3.192167918872781), ('Ġventana', 1.2234832883681392), ('Ġdurante', 11.212621493557275), ('Ġuna', 4.145642830943907), ('ĠmaÃ±ana.', 4.4425732854156585), 18.06810965075163]",9.471077703708838
12,0,1,Paula abatió a la contrincante en el ring en pocos minutos.,"[('ĠPaula', 23.225747930375753), ('ĠabatiÃ³', 10.823786434169504), ('Ġa', 2.798747458047705), ('Ġla', 2.869738628653506), ('Ġcontrincante', 14.85536882321734), ('Ġen', 1.2639272346398172), ('Ġel', 2.087056935431821), ('Ġring', 6.378427889723122), ('Ġen', 1.9947878204532408), ('Ġpocos', 11.19971797922834), ('Ġminutos.', 2.2927018365393326), 18.254534028772692]",14.85536882321734
12,1,1,Paula abatió a una contrincante en el ring en pocos minutos.,"[('ĠPaula', 23.225747930375753), ('ĠabatiÃ³', 10.823786434169504), ('Ġa', 2.798747458047705), ('Ġuna', 5.574908434557598), ('Ġcontrincante', 12.566414574631633), ('Ġen', 1.1771588118706902), ('Ġel', 2.0903467915601754), ('Ġring', 4.104204643114419), ('Ġen', 1.9168938305598797), ('Ġpocos', 12.059607843901867), ('Ġminutos.', 2.0205112583768474), 18.041390770078888]",12.566414574631633
12,3,0,Paula abatió la contrincante en el ring en pocos minutos.,"[('ĠPaula', 23.225747930375753), ('ĠabatiÃ³', 10.823786434169504), ('Ġla', 3.406694262044824), ('Ġcontrincante', 19.204588549883457), ('Ġen', 1.3687885726620417), ('Ġel', 2.107722714724798), ('Ġring', 6.7284978876237655), ('Ġen', 1.897918696260949), ('Ġpocos', 10.978818646945925), ('Ġminutos.', 2.3789352275518265), 18.295289445478254]",19.204588549883457
12,4,0,Paula abatió una contrincante en el ring en pocos minutos.,"[('ĠPaula', 23.225747930375753), ('ĠabatiÃ³', 10.823786434169504), ('Ġuna', 5.648090836118041), ('Ġcontrincante', 18.14343633200303), ('Ġen', 1.2057726645713636), ('Ġel', 2.0513407823791887), ('Ġring', 4.375215248309335), ('Ġen', 1.9335987687866183), ('Ġpocos', 11.75592087900832), ('Ġminutos.', 2.0829171410429024), 18.00260077110738]",18.14343633200303
12,2,1,Paula abatió a la resistencia en el ring en pocos minutos.,"[('ĠPaula', 23.225747930375753), ('ĠabatiÃ³', 10.823786434169504), ('Ġa', 2.798747458047705), ('Ġla', 2.869738628653506), ('Ġresistencia', 11.36246584967042), ('Ġen', 2.0355878344099554), ('Ġel', 2.226845465949017), ('Ġring', 7.674066757234729), ('Ġen', 1.7281936526985866), ('Ġpocos', 12.07987840706316), ('Ġminutos.', 1.7984044359027238), 18.330498765658795]",11.36246584967042
12,5,0,Paula abatió la resistencia en el ring en pocos minutos.,"[('ĠPaula', 23.225747930375753), ('ĠabatiÃ³', 10.823786434169504), ('Ġla', 3.406694262044824), ('Ġresistencia', 8.974006566879114), ('Ġen', 2.283524107780055), ('Ġel', 2.335309248420712), ('Ġring', 7.339394022100532), ('Ġen', 1.8318612385390836), ('Ġpocos', 11.698540587374453), ('Ġminutos.', 1.9657251530485942), 18.361991196788885]",8.974006566879114
2,0,1,Simón pateó a la jugadora en la cancha en un instante.,"[('ĠSimÃ³n', 29.791321837322958), ('ĠpateÃ³', 9.659877721081928), ('Ġa', 2.8464122777516816), ('Ġla', 2.8958325243730147), ('Ġjugadora', 13.362885492834197), ('Ġen', 1.852165338317296), ('Ġla', 1.9881600318796715), ('Ġcancha', 5.1694407610222335), ('Ġen', 2.0249619400709755), ('Ġun', 3.6375300639634895), ('Ġinstante.', 5.138465911679912), 18.07010224174453]",13.362885492834197
2,3,0,Simón pateó la jugadora en la cancha en un instante.,"[('ĠSimÃ³n', 29.791321837322958), ('ĠpateÃ³', 9.659877721081928), ('Ġla', 2.2657066657379774), ('Ġjugadora', 17.704520096666663), ('Ġen', 1.5833341572888935), ('Ġla', 1.902517487264217), ('Ġcancha', 4.499846259875388), ('Ġen', 1.821414834968568), ('Ġun', 3.997024023200811), ('Ġinstante.', 5.196643600874506), 18.12761530398486]",17.704520096666663
2,2,1,Simón pateó a la pelota en la cancha en un instante.,"[('ĠSimÃ³n', 29.791321837322958), ('ĠpateÃ³', 9.659877721081928), ('Ġa', 2.8464122777516816), ('Ġla', 2.8958325243730147), ('Ġpelota', 8.663537982096743), ('Ġen', 1.0107155170670314), ('Ġla', 2.1605846781551974), ('Ġcancha', 5.27791090685201), ('Ġen', 2.0270740303424466), ('Ġun', 3.6518118472564387), ('Ġinstante.', 5.09048386997642), 18.33298116324135]",8.663537982096743
2,5,0,Simón pateó la pelota en la cancha en un instante.,"[('ĠSimÃ³n', 29.791321837322958), ('ĠpateÃ³', 9.659877721081928), ('Ġla', 2.2657066657379774), ('Ġpelota', 2.8543528887246685), ('Ġen', 0.9716747673905705), ('Ġla', 2.082692187735574), ('Ġcancha', 4.642467000686993), ('Ġen', 1.9963968363901348), ('Ġun', 3.837882972912627), ('Ġinstante.', 5.27038726781604), 18.442878421107984]",2.8543528887246685
38,0,1,Unai amó a la jovencita en su pueblo durante varios años.,"[('ĠUnai', 14.318014190076019), ('ĠamÃ³', 11.48207290403947), ('Ġa', 1.7677111221598656), ('Ġla', 3.7108951110991497), ('Ġjovencita', 9.709508259489604), ('Ġen', 2.1268389733291637), ('Ġsu', 3.4861557501882694), ('Ġpueblo', 8.296716186071459), ('Ġdurante', 7.8156318685353385), ('Ġvarios', 6.162303483759262), ('ĠaÃ±os.', 1.37032800907626), 17.920047378866727]",9.709508259489604
38,3,0,Unai amó la jovencita en su pueblo durante varios años.,"[('ĠUnai', 14.318014190076019), ('ĠamÃ³', 11.48207290403947), ('Ġla', 4.025969391271626), ('Ġjovencita', 15.753244839952234), ('Ġen', 2.2528279169107663), ('Ġsu', 4.080669505274447), ('Ġpueblo', 8.433004869643597), ('Ġdurante', 8.554381969455326), ('Ġvarios', 6.779820950294245), ('ĠaÃ±os.', 1.3698565186389196), 17.892586909003462]",15.753244839952234
38,2,1,Unai amó a la vida en su pueblo durante varios años.,"[('ĠUnai', 14.318014190076019), ('ĠamÃ³', 11.48207290403947), ('Ġa', 1.7677111221598656), ('Ġla', 3.7108951110991497), ('Ġvida', 5.971416499913613), ('Ġen', 1.8853592439739808), ('Ġsu', 3.603015209727134), ('Ġpueblo', 7.642773482014336), ('Ġdurante', 8.149768705729448), ('Ġvarios', 7.00213329203615), ('ĠaÃ±os.', 1.229126813064877), 18.61443214723954]",5.971416499913613
38,5,0,Unai amó la vida en su pueblo durante varios años.,"[('ĠUnai', 14.318014190076019), ('ĠamÃ³', 11.48207290403947), ('Ġla', 4.025969391271626), ('Ġvida', 3.2351708048598193), ('Ġen', 1.8432051711943318), ('Ġsu', 4.008675159866163), ('Ġpueblo', 5.704814497990915), ('Ġdurante', 8.183667862075714), ('Ġvarios', 7.10647998182884), ('ĠaÃ±os.', 1.1950428506113426), 18.614345467983505]",3.2351708048598193
35,0,1,Carlos vigiló a la niña en la habitación durante unas horas.,"[('ĠCarlos', 23.69658414571226), ('ĠvigilÃ³', 12.155560232488593), ('Ġa', 2.72547510956086), ('Ġla', 3.917449026507797), ('ĠniÃ±a', 4.603664274999326), ('Ġen', 1.6918536702011544), ('Ġla', 2.1717202108332625), ('ĠhabitaciÃ³n', 4.007643607926288), ('Ġdurante', 7.171193613695498), ('Ġunas', 6.239397802696232), ('Ġhoras.', 1.3891678485650263), 18.55267420921061]",4.603664274999326
35,1,1,Carlos vigiló a una niña en la habitación durante unas horas.,"[('ĠCarlos', 23.69658414571226), ('ĠvigilÃ³', 12.155560232488593), ('Ġa', 2.72547510956086), ('Ġuna', 7.179503127454585), ('ĠniÃ±a', 3.4014161144898445), ('Ġen', 1.4641985611104376), ('Ġla', 2.0647769269778458), ('ĠhabitaciÃ³n', 5.394300509788717), ('Ġdurante', 7.561872155117867), ('Ġunas', 6.080800217584773), ('Ġhoras.', 1.2109784513217356), 18.383574675506868]",3.4014161144898445
35,3,0,Carlos vigiló la niña en la habitación durante unas horas.,"[('ĠCarlos', 23.69658414571226), ('ĠvigilÃ³', 12.155560232488593), ('Ġla', 2.992392871630542), ('ĠniÃ±a', 11.68585514704681), ('Ġen', 1.6986788214069906), ('Ġla', 2.3587767970788946), ('ĠhabitaciÃ³n', 3.658115699341164), ('Ġdurante', 7.5179532895323335), ('Ġunas', 6.336421471215183), ('Ġhoras.', 1.415039822171428), 18.534502178355147]",11.68585514704681
35,4,0,Carlos vigiló una niña en la habitación durante unas horas.,"[('ĠCarlos', 23.69658414571226), ('ĠvigilÃ³', 12.155560232488593), ('Ġuna', 6.939832232795796), ('ĠniÃ±a', 10.723826849817673), ('Ġen', 1.417511435008584), ('Ġla', 1.9355912988689927), ('ĠhabitaciÃ³n', 5.063527653245484), ('Ġdurante', 8.275977142169214), ('Ġunas', 6.126522149281953), ('Ġhoras.', 1.1959761467129966), 18.463286226424664]",10.723826849817673
41,0,1,Emma investigó a la empresaria en la ciudad durante varias semanas.,"[('ĠEmma', 28.026353322496398), ('ĠinvestigÃ³', 10.479130622100673), ('Ġa', 2.96468371485413), ('Ġla', 3.691509226693894), ('Ġempresaria', 11.978873684142037), ('Ġen', 1.828720097242119), ('Ġla', 2.9533160055974), ('Ġciudad', 6.132588321343186), ('Ġdurante', 8.79160589495764), ('Ġvarias', 6.313353782220256), ('Ġsemanas.', 1.6568601560007008), 17.747675359282365]",11.978873684142037
41,1,1,Emma investigó a una empresaria en la ciudad durante varias semanas.,"[('ĠEmma', 28.026353322496398), ('ĠinvestigÃ³', 10.479130622100673), ('Ġa', 2.96468371485413), ('Ġuna', 5.9443024031091865), ('Ġempresaria', 11.886496986849398), ('Ġen', 1.6522802723401115), ('Ġla', 3.0711199938548033), ('Ġciudad', 3.893178834818037), ('Ġdurante', 9.514635405727558), ('Ġvarias', 6.875533423083019), ('Ġsemanas.', 1.5525819582987168), 18.164469466238252]",11.886496986849398
41,3,0,Emma investigó la empresaria en la ciudad durante varias semanas.,"[('ĠEmma', 28.026353322496398), ('ĠinvestigÃ³', 10.479130622100673), ('Ġla', 4.179271286597716), ('Ġempresaria', 19.427286820693897), ('Ġen', 1.6898778081040262), ('Ġla', 2.952360813954508), ('Ġciudad', 5.301730160031207), ('Ġdurante', 8.447986622325558), ('Ġvarias', 6.8041771333094365), ('Ġsemanas.', 1.6694668927677405), 17.524068332144765]",19.427286820693897
41,4,0,Emma investigó una empresaria en la ciudad durante varias semanas.,"[('ĠEmma', 28.026353322496398), ('ĠinvestigÃ³', 10.479130622100673), ('Ġuna', 6.0678464843217865), ('Ġempresaria', 17.515475390977056), ('Ġen', 1.5368827799886817), ('Ġla', 3.007475750111211), ('Ġciudad', 3.7930845880505806), ('Ġdurante', 9.581992066972676), ('Ġvarias', 7.221372647772437), ('Ġsemanas.', 1.5971958702698812), 18.1764583768299]",17.515475390977056
41,2,1,Emma investigó a la epidemia en la ciudad durante varias semanas.,"[('ĠEmma', 28.026353322496398), ('ĠinvestigÃ³', 10.479130622100673), ('Ġa', 2.96468371485413), ('Ġla', 3.691509226693894), ('Ġepidemia', 16.108650427613245), ('Ġen', 1.6351725149153336), ('Ġla', 2.7449702029494136), ('Ġciudad', 4.169764429623322), ('Ġdurante', 7.934352180356538), ('Ġvarias', 6.72785880009316), ('Ġsemanas.', 1.3506090802676083), 18.14839562372331]",16.108650427613245
