acceptability,live_row,sentence,subject_nr,catalan,latin,id,type,affected
3,6,Lo que Alejandro hizo a la agresora fue identificarla.,11,0,0,46,6,0
4,7,Lo que Marta hizo a la aspirante fue descartarla.,11,0,0,47,6,0
2,8,Lo que Marco hizo a la amiga fue imaginarla.,11,0,0,33,6,0
4,9,Lo que Helena hizo a la futbolista fue derribarla.,11,0,0,14,6,1
4,10,Lo que Lucas hizo a la víctima fue arrastrarla.,11,0,0,19,6,1
2,11,Lo que Maria hizo a la mochilera fue transportarla.,11,0,0,18,6,1
3,12,Lo que Paula hizo a la contrincante fue abatirla.,11,0,0,12,6,1
1,13,Lo que Daniel hizo a la enferma fue remolcarla.,11,0,0,23,6,1
3,14,Lo que Alfonso hizo a la granjera fue mirarla.,11,0,0,29,6,0
2,15,Lo que Martín hizo a la intrusa fue detectarla.,11,0,0,44,6,0
2,16,Lo que Adrián hizo a la mujer fue percibirla.,11,0,0,40,6,0
3,17,Lo que Martín hizo a la médica fue buscarla.,11,0,0,32,6,0
4,18,Lo que Carlos hizo a la bruja fue quemarla.,11,0,0,9,6,1
2,19,Lo que Gabriela hizo a la amiga fue localizarla.,11,0,0,45,6,0
0,0,Lo que Marco hizo a la amiga fue imaginarla.,12,1,0,33,6,0
0,1,Lo que Valeria hizo a la cantante fue admirarla.,12,1,0,39,6,0
2,2,Lo que Jorge hizo a la ciclista fue arrollarla.,12,1,0,4,6,1
2,3,Lo que Pablo hizo a la turista fue secuestrarla.,12,1,0,3,6,1
1,4,Lo que Juan hizo a la vecina fue escucharla.,12,1,0,26,6,0
1,5,Lo que Felipe hizo a la cantante fue anunciarla.,12,1,0,27,6,0
1,6,Lo que Lucas hizo a la víctima fue arrastrarla.,12,1,0,19,6,1
0,7,Lo que Irene hizo a la niña fue oírla.,12,1,0,36,6,0
1,8,Lo que Helena hizo a la criminal fue colgarla.,12,1,0,8,6,1
2,9,Lo que Martina hizo a la anciana fue atropellarla.,12,1,0,13,6,1
1,10,Lo que Pedro hizo a la secretaria fue observarla.,12,1,0,25,6,0
1,11,Lo que Maria hizo a la mochilera fue transportarla.,12,1,0,18,6,1
1,12,Lo que Carla hizo a la contrincante fue asediarla.,12,1,0,22,6,1
1,13,Lo que Emma hizo a la empresaria fue investigarla.,12,1,0,41,6,0
0,14,Lo que Isabel hizo a la estudiante fue verla.,12,1,0,37,6,0
1,15,Lo que Sofía hizo a la chica fue conocerla.,12,1,0,43,6,0
2,16,Lo que Tomás hizo a la vieja fue empujarla.,12,1,0,7,6,1
1,17,Lo que Claudia hizo a la compañera fue maltratarla.,12,1,0,20,6,1
0,18,Lo que Daniel hizo a la enferma fue remolcarla.,12,1,0,23,6,1
0,19,Lo que Martín hizo a la intrusa fue detectarla.,12,1,0,44,6,0
4,0,Lo que Maria hizo a la mochilera fue transportarla.,13,1,0,18,6,1
4,1,Lo que Marta hizo a la aspirante fue descartarla.,13,1,0,47,6,0
4,2,Lo que Anna hizo a la maestra fue comprenderla.,13,1,0,28,6,0
4,3,Lo que Manuel hizo a la señora fue abrazarla.,13,1,0,5,6,1
4,4,Lo que Hugo hizo a la rebelde fue apalearla.,13,1,0,21,6,1
4,5,Lo que Tomás hizo a la vieja fue empujarla.,13,1,0,7,6,1
4,6,Lo que Paula hizo a la contrincante fue abatirla.,13,1,0,12,6,1
3,7,Lo que Martín hizo a la intrusa fue detectarla.,13,1,0,44,6,0
4,8,Lo que Carlos hizo a la profesora fue esperarla.,13,1,0,30,6,0
4,9,Lo que Alejandro hizo a la agresora fue identificarla.,13,1,0,46,6,0
4,10,Lo que Coral hizo a la turista fue guiarla.,13,1,0,24,6,1
4,11,Lo que Miguel hizo a la invitada fue recibirla.,13,1,0,31,6,0
4,12,Lo que Luis hizo a la mujer fue zarandearla.,13,1,0,17,6,1
3,13,Lo que Daniel hizo a la enferma fue remolcarla.,13,1,0,23,6,1
3,14,Lo que Ismael hizo a la conocida fue encontrarla.,13,1,0,42,6,0
4,15,Lo que Samuel hizo a la infiltrada fue descubrirla.,13,1,0,48,6,0
4,16,Lo que Martín hizo a la médica fue buscarla.,13,1,0,32,6,0
4,17,Lo que Jorge hizo a la ciclista fue arrollarla.,13,1,0,4,6,1
4,18,Lo que Unai hizo a la jovencita fue amarla.,13,1,0,38,6,0
3,19,Lo que Carla hizo a la contrincante fue asediarla.,13,1,0,22,6,1
4,0,Lo que Emma hizo a la empresaria fue investigarla.,14,1,0,41,6,0
4,1,Lo que Unai hizo a la jovencita fue amarla.,14,1,0,38,6,0
4,2,Lo que Helena hizo a la futbolista fue derribarla.,14,1,0,14,6,1
3,3,Lo que Ismael hizo a la conocida fue encontrarla.,14,1,0,42,6,0
4,4,Lo que Samuel hizo a la infiltrada fue descubrirla.,14,1,0,48,6,0
4,5,Lo que Pedro hizo a la secretaria fue observarla.,14,1,0,25,6,0
3,6,Lo que Irene hizo a la niña fue oírla.,14,1,0,36,6,0
4,7,Lo que Manuel hizo a la señora fue abrazarla.,14,1,0,5,6,1
4,8,Lo que Jorge hizo a la ciclista fue arrollarla.,14,1,0,4,6,1
2,9,Lo que Adrián hizo a la mujer fue percibirla.,14,1,0,40,6,0
4,10,Lo que Alejandro hizo a la agresora fue identificarla.,14,1,0,46,6,0
1,11,Lo que Maria hizo a la mochilera fue transportarla.,14,1,0,18,6,1
2,12,Lo que Carla hizo a la contrincante fue asediarla.,14,1,0,22,6,1
4,13,Lo que Alfonso hizo a la granjera fue mirarla.,14,1,0,29,6,0
4,14,Lo que Mateo hizo a la rehén fue eliminarla.,14,1,0,10,6,1
3,15,Lo que Gabriela hizo a la amiga fue localizarla.,14,1,0,45,6,0
4,16,Lo que Helena hizo a la criminal fue colgarla.,14,1,0,8,6,1
4,17,Lo que Valentina hizo a la adversaria fue vencerla.,14,1,0,16,6,1
4,18,Lo que Carlos hizo a la bruja fue quemarla.,14,1,0,9,6,1
4,19,Lo que Valeria hizo a la criminal fue neutralizarla.,14,1,0,11,6,1
2,0,Lo que Samuel hizo a la infiltrada fue descubrirla.,15,0,0,48,6,0
2,1,Lo que Emma hizo a la empresaria fue investigarla.,15,0,0,41,6,0
2,2,Lo que Carlos hizo a la bruja fue quemarla.,15,0,0,9,6,1
4,3,Lo que Carlos le hizo a la conductora fue asaltarla.,15,0,0,1,6,1
4,4,Lo que Miguel hizo a la invitada fue recibirla.,15,0,0,31,6,0
4,5,Lo que Mateo hizo a la rehén fue eliminarla.,15,0,0,10,6,1
3,6,Lo que Irene hizo a la niña fue oírla.,15,0,0,36,6,0
4,7,Lo que Valeria hizo a la cantante fue admirarla.,15,0,0,39,6,0
4,8,Lo que Lucía hizo a la oponente fue destrozarla.,15,0,0,15,6,1
4,9,Lo que Martina hizo a la anciana fue atropellarla.,15,0,0,13,6,1
3,10,Lo que Gabriela hizo a la amiga fue localizarla.,15,0,0,45,6,0
3,11,Lo que Adrián hizo a la mujer fue percibirla.,15,0,0,40,6,0
3,12,Lo que Manuel hizo a la señora fue abrazarla.,15,0,0,5,6,1
3,13,Lo que Tomás hizo a la vieja fue empujarla.,15,0,0,7,6,1
3,14,Lo que Alfonso hizo a la granjera fue mirarla.,15,0,0,29,6,0
0,15,Lo que Daniel hizo a la enferma fue remolcarla.,15,0,0,23,6,1
3,16,Lo que Helena hizo a la criminal fue colgarla.,15,0,0,8,6,1
2,17,Lo que Carlos hizo a la profesora fue esperarla.,15,0,0,30,6,0
3,18,Lo que Pablo hizo a la turista fue secuestrarla.,15,0,0,3,6,1
3,19,Lo que Anna hizo a la maestra fue comprenderla.,15,0,0,28,6,0
3,0,Lo que Juan hizo a la vecina fue escucharla.,16,0,0,26,6,0
3,1,Lo que Carmen hizo a la vendedora fue odiarla.,16,0,0,34,6,0
3,2,Lo que Mateo hizo a la rehén fue eliminarla.,16,0,0,10,6,1
3,3,Lo que Carlos hizo a la profesora fue esperarla.,16,0,0,30,6,0
3,4,Lo que Jorge hizo a la ciclista fue arrollarla.,16,0,0,4,6,1
4,5,Lo que Helena hizo a la criminal fue colgarla.,16,0,0,8,6,1
3,6,Lo que Valeria hizo a la criminal fue neutralizarla.,16,0,0,11,6,1
3,7,Lo que Anna hizo a la maestra fue comprenderla.,16,0,0,28,6,0
3,8,Lo que Alfonso hizo a la granjera fue mirarla.,16,0,0,29,6,0
3,9,Lo que Carlos hizo a la bruja fue quemarla.,16,0,0,9,6,1
3,10,Lo que Adrián hizo a la mujer fue percibirla.,16,0,0,40,6,0
3,11,Lo que Carla hizo a la contrincante fue asediarla.,16,0,0,22,6,1
3,12,Lo que Valentina hizo a la adversaria fue vencerla.,16,0,0,16,6,1
4,13,Lo que Alejandro hizo a la agresora fue identificarla.,16,0,0,46,6,0
4,14,Lo que Francisco hizo a la novia fue besarla.,16,0,0,6,6,1
3,15,Lo que Carlos hizo a la niña fue vigilarla.,16,0,0,35,6,0
3,16,Lo que Emma hizo a la empresaria fue investigarla.,16,0,0,41,6,0
4,17,Lo que Simón le hizo a la jugadora fue patearla.,16,0,0,2,6,1
3,18,Lo que Samuel hizo a la infiltrada fue descubrirla.,16,0,0,48,6,0
4,19,Lo que Carlos le hizo a la conductora fue asaltarla.,16,0,0,1,6,1
4,0,Lo que Claudia hizo a la compañera fue maltratarla.,17,0,0,20,6,1
4,1,Lo que Martina hizo a la anciana fue atropellarla.,17,0,0,13,6,1
4,2,Lo que Helena hizo a la futbolista fue derribarla.,17,0,0,14,6,1
3,3,Lo que Alfonso hizo a la granjera fue mirarla.,17,0,0,29,6,0
2,4,Lo que Alba hizo a la actriz fue mencionarla.,17,0,0,49,6,0
4,5,Lo que Carlos hizo a la bruja fue quemarla.,17,0,0,9,6,1
1,6,Lo que Alejandro hizo a la agresora fue identificarla.,17,0,0,46,6,0
1,7,Lo que Carmen hizo a la vendedora fue odiarla.,17,0,0,34,6,0
4,8,Lo que Valeria hizo a la criminal fue neutralizarla.,17,0,0,11,6,1
3,9,Lo que Samuel hizo a la infiltrada fue descubrirla.,17,0,0,48,6,0
4,10,Lo que Helena hizo a la criminal fue colgarla.,17,0,0,8,6,1
0,11,Lo que Ismael hizo a la conocida fue encontrarla.,17,0,0,42,6,0
4,12,Lo que Felipe hizo a la cantante fue anunciarla.,17,0,0,27,6,0
0,13,Lo que Irene hizo a la niña fue oírla.,17,0,0,36,6,0
4,14,Lo que Tomás hizo a la vieja fue empujarla.,17,0,0,7,6,1
4,15,Lo que Marta hizo a la aspirante fue descartarla.,17,0,0,47,6,0
4,16,Lo que Lucía hizo a la oponente fue destrozarla.,17,0,0,15,6,1
4,17,Lo que Mateo hizo a la rehén fue eliminarla.,17,0,0,10,6,1
4,18,Lo que Maria hizo a la mochilera fue transportarla.,17,0,0,18,6,1
1,19,Lo que Juan hizo a la vecina fue escucharla.,17,0,0,26,6,0
4,0,Lo que Francisco hizo a la novia fue besarla.,18,0,1,6,6,1
4,1,Lo que Pedro hizo a la secretaria fue observarla.,18,0,1,25,6,0
4,2,Lo que Ismael hizo a la conocida fue encontrarla.,18,0,1,42,6,0
4,3,Lo que Irene hizo a la niña fue oírla.,18,0,1,36,6,0
4,4,Lo que Valeria hizo a la cantante fue admirarla.,18,0,1,39,6,0
4,5,Lo que Paula hizo a la contrincante fue abatirla.,18,0,1,12,6,1
4,6,Lo que Carmen hizo a la vendedora fue odiarla.,18,0,1,34,6,0
4,7,Lo que Unai hizo a la jovencita fue amarla.,18,0,1,38,6,0
4,8,Lo que Coral hizo a la turista fue guiarla.,18,0,1,24,6,1
4,9,Lo que Maria hizo a la mochilera fue transportarla.,18,0,1,18,6,1
4,10,Lo que Felipe hizo a la cantante fue anunciarla.,18,0,1,27,6,0
4,11,Lo que Pablo hizo a la turista fue secuestrarla.,18,0,1,3,6,1
4,12,Lo que Marco hizo a la amiga fue imaginarla.,18,0,1,33,6,0
4,13,Lo que Martín hizo a la médica fue buscarla.,18,0,1,32,6,0
4,14,Lo que Lucas hizo a la víctima fue arrastrarla.,18,0,1,19,6,1
4,15,Lo que Martina hizo a la anciana fue atropellarla.,18,0,1,13,6,1
4,16,Lo que Juan le hizo a la actriz fue golpearla.,18,0,1,0,6,1
4,17,Lo que Hugo hizo a la rebelde fue apalearla.,18,0,1,21,6,1
4,18,Lo que Martín hizo a la intrusa fue detectarla.,18,0,1,44,6,0
4,19,Lo que Carla hizo a la contrincante fue asediarla.,18,0,1,22,6,1
3,0,Lo que Coral hizo a la turista fue guiarla.,19,0,1,24,6,1
3,1,Lo que Valeria hizo a la cantante fue admirarla.,19,0,1,39,6,0
4,2,Lo que Hugo hizo a la rebelde fue apalearla.,19,0,1,21,6,1
4,3,Lo que Valentina hizo a la adversaria fue vencerla.,19,0,1,16,6,1
4,4,Lo que Emma hizo a la empresaria fue investigarla.,19,0,1,41,6,0
4,5,Lo que Valeria hizo a la criminal fue neutralizarla.,19,0,1,11,6,1
1,6,Lo que Adrián hizo a la mujer fue percibirla.,19,0,1,40,6,0
3,7,Lo que Carla hizo a la contrincante fue asediarla.,19,0,1,22,6,1
4,8,Lo que Carlos hizo a la profesora fue esperarla.,19,0,1,30,6,0
3,9,Lo que Miguel hizo a la invitada fue recibirla.,19,0,1,31,6,0
1,10,Lo que Felipe hizo a la cantante fue anunciarla.,19,0,1,27,6,0
4,11,Lo que Pedro hizo a la secretaria fue observarla.,19,0,1,25,6,0
4,12,Lo que Unai hizo a la jovencita fue amarla.,19,0,1,38,6,0
1,13,Lo que Martín hizo a la médica fue buscarla.,19,0,1,32,6,0
4,14,Lo que Pablo hizo a la turista fue secuestrarla.,19,0,1,3,6,1
4,15,Lo que Manuel hizo a la señora fue abrazarla.,19,0,1,5,6,1
4,16,Lo que Juan le hizo a la actriz fue golpearla.,19,0,1,0,6,1
4,17,Lo que Simón le hizo a la jugadora fue patearla.,19,0,1,2,6,1
3,18,Lo que Alejandro hizo a la agresora fue identificarla.,19,0,1,46,6,0
3,19,Lo que Luis hizo a la mujer fue zarandearla.,19,0,1,17,6,1
4,0,Lo que Paula hizo a la contrincante fue abatirla.,20,1,0,12,6,1
4,1,Lo que Manuel hizo a la señora fue abrazarla.,20,1,0,5,6,1
4,2,Lo que Adrián hizo a la mujer fue percibirla.,20,1,0,40,6,0
2,3,Lo que Carlos hizo a la profesora fue esperarla.,20,1,0,30,6,0
4,4,Lo que Mateo hizo a la rehén fue eliminarla.,20,1,0,10,6,1
3,5,Lo que Daniel hizo a la enferma fue remolcarla.,20,1,0,23,6,1
3,6,Lo que Martina hizo a la anciana fue atropellarla.,20,1,0,13,6,1
4,7,Lo que Carlos le hizo a la conductora fue asaltarla.,20,1,0,1,6,1
4,8,Lo que Simón le hizo a la jugadora fue patearla.,20,1,0,2,6,1
4,9,Lo que Martín hizo a la intrusa fue detectarla.,20,1,0,44,6,0
3,10,Lo que Samuel hizo a la infiltrada fue descubrirla.,20,1,0,48,6,0
2,11,Lo que Juan hizo a la vecina fue escucharla.,20,1,0,26,6,0
4,12,Lo que Valeria hizo a la criminal fue neutralizarla.,20,1,0,11,6,1
1,13,Lo que Alba hizo a la actriz fue mencionarla.,20,1,0,49,6,0
2,14,Lo que Francisco hizo a la novia fue besarla.,20,1,0,6,6,1
3,15,Lo que Alejandro hizo a la agresora fue identificarla.,20,1,0,46,6,0
2,16,Lo que Isabel hizo a la estudiante fue verla.,20,1,0,37,6,0
2,17,Lo que Alfonso hizo a la granjera fue mirarla.,20,1,0,29,6,0
2,18,Lo que Miguel hizo a la invitada fue recibirla.,20,1,0,31,6,0
3,19,Lo que Maria hizo a la mochilera fue transportarla.,20,1,0,18,6,1
4,0,Lo que Tomás hizo a la vieja fue empujarla.,21,0,0,7,6,1
4,1,Lo que Emma hizo a la empresaria fue investigarla.,21,0,0,41,6,0
4,2,Lo que Martina hizo a la anciana fue atropellarla.,21,0,0,13,6,1
4,3,Lo que Manuel hizo a la señora fue abrazarla.,21,0,0,5,6,1
4,4,Lo que Alba hizo a la actriz fue mencionarla.,21,0,0,49,6,0
4,5,Lo que Carlos hizo a la bruja fue quemarla.,21,0,0,9,6,1
4,6,Lo que Hugo hizo a la rebelde fue apalearla.,21,0,0,21,6,1
4,7,Lo que Irene hizo a la niña fue oírla.,21,0,0,36,6,0
4,8,Lo que Samuel hizo a la infiltrada fue descubrirla.,21,0,0,48,6,0
2,9,Lo que Maria hizo a la mochilera fue transportarla.,21,0,0,18,6,1
4,10,Lo que Simón le hizo a la jugadora fue patearla.,21,0,0,2,6,1
4,11,Lo que Pedro hizo a la secretaria fue observarla.,21,0,0,25,6,0
4,12,Lo que Juan hizo a la vecina fue escucharla.,21,0,0,26,6,0
4,13,Lo que Pablo hizo a la turista fue secuestrarla.,21,0,0,3,6,1
2,14,Lo que Gabriela hizo a la amiga fue localizarla.,21,0,0,45,6,0
4,15,Lo que Adrián hizo a la mujer fue percibirla.,21,0,0,40,6,0
3,16,Lo que Juan le hizo a la actriz fue golpearla.,21,0,0,0,6,1
4,17,Lo que Alfonso hizo a la granjera fue mirarla.,21,0,0,29,6,0
3,18,Lo que Carla hizo a la contrincante fue asediarla.,21,0,0,22,6,1
4,19,Lo que Valeria hizo a la cantante fue admirarla.,21,0,0,39,6,0
4,0,Lo que Adrián hizo a la mujer fue percibirla.,22,1,0,40,6,0
4,1,Lo que Helena hizo a la criminal fue colgarla.,22,1,0,8,6,1
4,2,Lo que Martín hizo a la médica fue buscarla.,22,1,0,32,6,0
4,3,Lo que Miguel hizo a la invitada fue recibirla.,22,1,0,31,6,0
4,4,Lo que Hugo hizo a la rebelde fue apalearla.,22,1,0,21,6,1
4,5,Lo que Simón le hizo a la jugadora fue patearla.,22,1,0,2,6,1
3,6,Lo que Felipe hizo a la cantante fue anunciarla.,22,1,0,27,6,0
3,7,Lo que Juan hizo a la vecina fue escucharla.,22,1,0,26,6,0
3,8,Lo que Carlos hizo a la bruja fue quemarla.,22,1,0,9,6,1
3,9,Lo que Helena hizo a la futbolista fue derribarla.,22,1,0,14,6,1
3,10,Lo que Lucas hizo a la víctima fue arrastrarla.,22,1,0,19,6,1
3,11,Lo que Martín hizo a la intrusa fue detectarla.,22,1,0,44,6,0
3,12,Lo que Anna hizo a la maestra fue comprenderla.,22,1,0,28,6,0
4,13,Lo que Valeria hizo a la cantante fue admirarla.,22,1,0,39,6,0
4,14,Lo que Ismael hizo a la conocida fue encontrarla.,22,1,0,42,6,0
4,15,Lo que Valentina hizo a la adversaria fue vencerla.,22,1,0,16,6,1
4,16,Lo que Carlos le hizo a la conductora fue asaltarla.,22,1,0,1,6,1
3,17,Lo que Tomás hizo a la vieja fue empujarla.,22,1,0,7,6,1
3,18,Lo que Pablo hizo a la turista fue secuestrarla.,22,1,0,3,6,1
3,19,Lo que Irene hizo a la niña fue oírla.,22,1,0,36,6,0
4,0,Lo que Sofía hizo a la chica fue conocerla.,23,0,0,43,6,0
4,1,Lo que Maria hizo a la mochilera fue transportarla.,23,0,0,18,6,1
4,2,Lo que Carlos hizo a la niña fue vigilarla.,23,0,0,35,6,0
4,3,Lo que Alejandro hizo a la agresora fue identificarla.,23,0,0,46,6,0
4,4,Lo que Mateo hizo a la rehén fue eliminarla.,23,0,0,10,6,1
4,5,Lo que Unai hizo a la jovencita fue amarla.,23,0,0,38,6,0
4,6,Lo que Helena hizo a la criminal fue colgarla.,23,0,0,8,6,1
4,7,Lo que Martina hizo a la anciana fue atropellarla.,23,0,0,13,6,1
4,8,Lo que Anna hizo a la maestra fue comprenderla.,23,0,0,28,6,0
4,9,Lo que Pablo hizo a la turista fue secuestrarla.,23,0,0,3,6,1
4,10,Lo que Samuel hizo a la infiltrada fue descubrirla.,23,0,0,48,6,0
4,11,Lo que Tomás hizo a la vieja fue empujarla.,23,0,0,7,6,1
4,12,Lo que Juan le hizo a la actriz fue golpearla.,23,0,0,0,6,1
4,13,Lo que Paula hizo a la contrincante fue abatirla.,23,0,0,12,6,1
4,14,Lo que Miguel hizo a la invitada fue recibirla.,23,0,0,31,6,0
4,15,Lo que Isabel hizo a la estudiante fue verla.,23,0,0,37,6,0
4,16,Lo que Valentina hizo a la adversaria fue vencerla.,23,0,0,16,6,1
4,17,Lo que Carlos le hizo a la conductora fue asaltarla.,23,0,0,1,6,1
4,18,Lo que Adrián hizo a la mujer fue percibirla.,23,0,0,40,6,0
4,19,Lo que Gabriela hizo a la amiga fue localizarla.,23,0,0,45,6,0
0,0,Lo que Martín hizo a la médica fue buscarla.,24,1,0,32,6,0
0,1,Lo que Maria hizo a la mochilera fue transportarla.,24,1,0,18,6,1
2,2,Lo que Carlos hizo a la bruja fue quemarla.,24,1,0,9,6,1
0,3,Lo que Carlos hizo a la niña fue vigilarla.,24,1,0,35,6,0
0,4,Lo que Carlos hizo a la profesora fue esperarla.,24,1,0,30,6,0
2,5,Lo que Simón le hizo a la jugadora fue patearla.,24,1,0,2,6,1
0,6,Lo que Anna hizo a la maestra fue comprenderla.,24,1,0,28,6,0
0,7,Lo que Martín hizo a la intrusa fue detectarla.,24,1,0,44,6,0
0,8,Lo que Marco hizo a la amiga fue imaginarla.,24,1,0,33,6,0
0,9,Lo que Pedro hizo a la secretaria fue observarla.,24,1,0,25,6,0
0,10,Lo que Unai hizo a la jovencita fue amarla.,24,1,0,38,6,0
2,11,Lo que Martina hizo a la anciana fue atropellarla.,24,1,0,13,6,1
0,12,Lo que Francisco hizo a la novia fue besarla.,24,1,0,6,6,1
0,13,Lo que Daniel hizo a la enferma fue remolcarla.,24,1,0,23,6,1
0,14,Lo que Lucía hizo a la oponente fue destrozarla.,24,1,0,15,6,1
2,15,Lo que Juan le hizo a la actriz fue golpearla.,24,1,0,0,6,1
0,16,Lo que Valentina hizo a la adversaria fue vencerla.,24,1,0,16,6,1
0,17,Lo que Isabel hizo a la estudiante fue verla.,24,1,0,37,6,0
1,18,Lo que Paula hizo a la contrincante fue abatirla.,24,1,0,12,6,1
0,19,Lo que Sofía hizo a la chica fue conocerla.,24,1,0,43,6,0
3,0,Lo que Carlos hizo a la niña fue vigilarla.,26,1,0,35,6,0
4,1,Lo que Carlos hizo a la bruja fue quemarla.,26,1,0,9,6,1
4,2,Lo que Valeria hizo a la criminal fue neutralizarla.,26,1,0,11,6,1
4,3,Lo que Claudia hizo a la compañera fue maltratarla.,26,1,0,20,6,1
4,4,Lo que Gabriela hizo a la amiga fue localizarla.,26,1,0,45,6,0
1,5,Lo que Isabel hizo a la estudiante fue verla.,26,1,0,37,6,0
1,6,Lo que Felipe hizo a la cantante fue anunciarla.,26,1,0,27,6,0
4,7,Lo que Martina hizo a la anciana fue atropellarla.,26,1,0,13,6,1
1,8,Lo que Alfonso hizo a la granjera fue mirarla.,26,1,0,29,6,0
1,9,Lo que Valeria hizo a la cantante fue admirarla.,26,1,0,39,6,0
1,10,Lo que Ismael hizo a la conocida fue encontrarla.,26,1,0,42,6,0
4,11,Lo que Lucía hizo a la oponente fue destrozarla.,26,1,0,15,6,1
1,12,Lo que Alba hizo a la actriz fue mencionarla.,26,1,0,49,6,0
2,13,Lo que Daniel hizo a la enferma fue remolcarla.,26,1,0,23,6,1
2,14,Lo que Maria hizo a la mochilera fue transportarla.,26,1,0,18,6,1
1,15,Lo que Carla hizo a la contrincante fue asediarla.,26,1,0,22,6,1
1,16,Lo que Anna hizo a la maestra fue comprenderla.,26,1,0,28,6,0
1,17,Lo que Mateo hizo a la rehén fue eliminarla.,26,1,0,10,6,1
1,18,Lo que Carlos hizo a la profesora fue esperarla.,26,1,0,30,6,0
1,19,Lo que Manuel hizo a la señora fue abrazarla.,26,1,0,5,6,1
