answer,comprehension,question,sentence,subject_nr
NO,E,Lucía y su compañero estaban en el salón.,Lucía ofreció un café a su compañero en la cocina.,10
SI,A,Hubo un asedio en la región.,Carla asedió a una contrincante en la región durante bastante tiempo.,10
SI,A,Helena estaba en el patio.,Helena colgó a la criminal en el patio en cinco minutos.,10
NO,E,Alejandro estaba en el centro comercial.,Alejandro identificó la amenaza en el aeropuerto en dos horas.,10
NO,A,Luis envió un paquete a su hermano.,Luis envíe un paquete a su primo en Alemania.,10
SI,A,Ana estaba en la biblioteca.,Nos encontramos con Ana después de clase en la biblioteca.,10
SI,A,Ana estaba en la biblioteca.,Nos encontramos con Ana después de clase en la biblioteca.,11
NO,E,El avión despegó con retraso.,El avión despegó puntualmente a la siete de la mañana.,11
SI,A,Ellos corren en el centro.,Ellos corren todas las mañanas por el parque del centro.,11
SI,A,Ayer estudiaron matemáticas.,Nos sentamos juntos para estudiando matemáticas toda la tarde ayer.,11
NO,E,Lucía y su compañero estaban en el salón.,Lucía ofreció un café a su compañero en la cocina.,11
SI,A,El camarero sonrió.,El camarero trajo el cuenta a los clientes con una sonrisa.,11
SI,A,Lucia estuvo en una pelea de bar.,Lucía destrozó a una oponente en el bar en diez minutos.,11
NO,E,LLegaron a casa después del aconecher.,Los campesinos llegaron cansado a casa justo antes del anochecer.,11
NO,E,Ayer fueron al teatro.,Ayer fueron al cine a ver una película divertida.,11
NO,E,El beso tuvo lugar en un museo.,Francisco besó a la cruz en la iglesia durante unos segundos.,11
SI,A,Helena estaba jugando un partido de fútbol.,Helena derribó a una futbolista en el campo durante el partido.,11
SI,A,Laura se fue a Inglaterra.,Laura se fue de vacaciones a Londres la semana pasada.,11
SI,E,Felipe es presentador de teatro.,Felipe anunció la cantante en el escenario en cinco minutos.,11
NO,E,Carlos tardó mucho en hacer el asalto.,Carlos asaltó la camioneta en el barrio en pocos instantes.,11
NO,E,María iba en bicicleta.,María transportó la guitarra en la furgoneta durante un día.,11
NO,E,Viajan a Argentina cada invierno.,Mis padres viajan en avión a Argentina cada verano.,11
SI,A,El gato está sobre la manta cerca del sofá.,El gato duerme tranquilo sobre la manta cerca del sofá.,11
SI,A,El bebé sonrió a su madre.,El bebé sonreí dulcemente a su madre desde la cuna.,11
NO,E,El tren llegó con retraso.,El tren llegó puntual a la estación bajo la lluvia.,11
SI,A,Había fuego en la plaza.,Carlos quemó la bruja en la plaza en pocos minutos.,11
NO,E,Carmen vio una representación teatral.,Carmen odió la música en el cine durante la película.,11
NO,E,El combate duró varias horas.,Paula abatió la resistencia en el ring en pocos minutos.,11
SI,A,Maria y su hermana estaban en la biblioteca.,María dio el libro su hermana en la biblioteca.,11
NO,E,La guerra duró más de dos años.,Valentina venció a una adversaria en la guerra en dos años.,11
NO,E,El autobus llegó puntual.,El autobús llegó con retraso a la parada equivocada del centro.,11
NO,E,La acción tuvo lugar en el parque.,Simón pateó a la pelota en la cancha en un instante.,11
SI,A,Hubo un asedio en la región.,Carla asedió la ciudad en la región durante bastante tiempo.,11
NO,E,Alejandro estaba en el centro comercial.,Alejandro identificó a una agresora en el aeropuerto en dos horas.,11
NO,E,Andrés contó una historia,Andrés cantó una canción a su hija antes de acostarla.,11
NO,E,El coche era azul.,El coche rojo aparcó frente a la casa de Marta.,11
SI,A,Ana escribió la carta desde la playa.,Ana escribió una carta a su abuela desde la playa.,11
NO,E,Miguel tuvo que esperar una semana.,Miguel recibió a la invitada en la casa en un día.,11
NO,E,El niño juega solo en el parque.,El niño juega en el parque con su mejor amigo.,11
NO,E,El profesor y los alumnos estaban fuera del aula.,El profesor explicó la lección los alumnos en clase.,11
SI,A,Clara fue a la farmacia con su hermana.,Clara fue con su hermanas a la farmacia después del desayuno.,11
SI,A,Helena estaba en el patio.,Helena colgó una criminal en el patio en cinco minutos.,11
No,E,El bebé dormía plácidamente.,El bebé lloraba constantemente durante la noche sin razón aparente.,11
SI,A,Anna estaba en la escuela.,Anna comprendió a la tarea en la escuela en dos minutos.,11
SI,A,Emma pasó semanas investigando.,Emma investigó a la epidemia en la ciudad durante varias semanas.,11
NO,E,Pedro observó durante unos minutos.,Pedro observó una secretaria en la oficina durante una hora.,11
SI,A,Isabel miraba por la ventana.,Isabel vió una estudiante desde su ventana durante una mañana.,11
SI,A,La cena se preparó en casa.,Mi madre preparó la cena a toda la familia en casa.,11
SI,E,Lo que Pedro hizo fue un secuestro.,Pablo secuestró a la turista en el aeropuerto durante una hora.,11
NO,E,Luis envió un paquete a su hermano.,Luis envíe un paquete a su primo en Alemania.,11
SI,A,La acción tuvo lugar en la calle.,Juan golpeó a la actriz en la calle en diez segundos.,11
NO,E,El dueño fue reconocido por su gato.,El perro corrió felizmente a su dueño cuando le reconoció.,11
SI,A,Martin estaba en el hospital.,Martín buscó a la escalera en el hospital durante dos horas.,11
SI,A,Valeria fue a un concierto.,Valeria admiró una cantante en el teatro durante el concierto.,11
NO,E,El autobus llegó puntual.,El autobús llegó con retraso a la parada equivocada del centro.,12
SI,A,El bebé sonrió a su madre.,El bebé sonreí dulcemente a su madre desde la cuna.,12
SI,A,Maria y su hermana estaban en la biblioteca.,María dio el libro su hermana en la biblioteca.,12
SI,E,Clara fue a la farmacia con su hermana.,Clara fue con su hermanas a la farmacia después del desayuno.,12
SI,A,Emma pasó semanas investigando.,Emma investigó la empresaria en la ciudad durante varias semanas.,12
NO,E,Miguel tuvo que esperar una semana.,Miguel recibió una invitada en la casa en un día.,12
NO,E,Carlos tardó mucho en hacer el asalto.,Carlos asaltó la conductora en el barrio en pocos instantes.,12
NO,E,El coche era azul.,El coche rojo aparcó frente a la casa de Marta.,12
SI,A,El camarero sonrió.,El camarero trajo el cuenta a los clientes con una sonrisa.,12
SI,A,Anna estaba en la escuela.,Anna comprendió a la maestra en la escuela en dos minutos.,12
NO,E,El avión despegó con retraso.,El avión despegó puntualmente a la siete de la mañana.,12
SI,E,Felipe es presentador de teatro.,Felipe anunció la cantante en el escenario en cinco minutos.,12
SI,A,Había fuego en la plaza.,Carlos quemó la página en la plaza en pocos minutos.,12
SI,E,Ana estaba en la biblioteca.,Nos encontramos con Ana después de clase en la biblioteca.,12
NO,E,El niño juega solo en el parque.,El niño juega en el parque con su mejor amigo.,12
SI,A,Ayer estudiaron matemáticas.,Nos sentamos juntos para estudiando matemáticas toda la tarde ayer.,12
SI,A,Helena estaba en el patio.,Helena colgó a una criminal en el patio en cinco minutos.,12
NO,E,El combate duró varias horas.,Paula abatió una contrincante en el ring en pocos minutos.,12
NO,E,La acción tuvo lugar en el parque.,Simón pateó una jugadora en la cancha en un instante.,12
NO,E,Ayer fueron al teatro.,Ayer fueron al cine a ver una película divertida.,12
NO,E,El dueño fue reconocido por su gato.,El perro corrió felizmente a su dueño cuando le reconoció.,12
SI,E,Helena estaba en un campo de fútbol.,Helena derribó a la barrera en el campo durante el partido.,12
NO,E,Luis envió un paquete a su hermano.,Luis envíe un paquete a su primo en Alemania.,12
NO,E,Andrés contó una historia,Andrés cantó una canción a su hija antes de acostarla.,12
No,E,El bebé dormía plácidamente.,El bebé lloraba constantemente durante la noche sin razón aparente.,12
SI,A,Martin estaba en el hospital.,Martín buscó la escalera en el hospital durante dos horas.,12
NO,E,Carmen vio una representación teatral.,Carmen odió una vendedora en el cine durante la película.,12
NO,E,La guerra duró más de dos años.,Valentina venció la resistencia en la guerra en dos años.,12
SI,E,Hubo un asedio en la región.,Carla asedió a la ciudad en la región durante bastante tiempo.,12
NO,E,Viajan a Argentina cada invierno.,Mis padres viajan en avión a Argentina cada verano.,12
NO,E,María iba en bicicleta.,María transportó a la mochilera en la furgoneta durante un día.,12
SI,A,Laura se fue a Inglaterra.,Laura se fue de vacaciones a Londres la semana pasada.,12
NO,E,Lucía y su compañero estaban en el salón.,Lucía ofreció un café a su compañero en la cocina.,12
NO,E,El tren llegó con retraso.,El tren llegó puntual a la estación bajo la lluvia.,12
SI,A,La cena se preparó en casa.,Mi madre preparó la cena a toda la familia en casa.,12
SI,A,Ellos corren en el centro.,Ellos corren todas las mañanas por el parque del centro.,12
NO,E,Pedro observó durante unos minutos.,Pedro observó a la secretaria en la oficina durante una hora.,12
NO,E,El beso tuvo lugar en un museo.,Francisco besó a una novia en la iglesia durante unos segundos.,12
NO,E,Alejandro estaba en el centro comercial.,Alejandro identificó a una agresora en el aeropuerto en dos horas.,12
SI,A,Valeria fue a un concierto.,Valeria admiró una cantante en el teatro durante el concierto.,12
SI,A,Isabel miraba por la ventana.,Isabel vió la tormenta desde su ventana durante una mañana.,12
NO,E,LLegaron a casa después del aconecher.,Los campesinos llegaron cansado a casa justo antes del anochecer.,12
SI,A,Lo que Pedro hizo fue un secuestro.,Pablo secuestró a una turista en el aeropuerto durante una hora.,12
SI,A,Lucia estaba en un bar.,Lucía destrozó la mesa en el bar en diez minutos.,12
SI,A,La acción tuvo lugar en la calle.,Juan golpeó a la piedra en la calle en diez segundos.,12
SI,A,El gato está sobre la manta cerca del sofá.,El gato duerme tranquilo sobre la manta cerca del sofá.,12
NO,E,El profesor y los alumnos estaban fuera del aula.,El profesor explicó la lección los alumnos en clase.,12
SI,A,Ana escribió la carta desde la playa.,Ana escribió una carta a su abuela desde la playa.,12
NO,E,Miguel tuvo que esperar una semana.,Miguel recibió la caja en la casa en un día.,13
SI,A,El bebé sonrió a su madre.,El bebé sonreí dulcemente a su madre desde la cuna.,13
NO,E,El profesor y los alumnos estaban fuera del aula.,El profesor explicó la lección los alumnos en clase.,13
NO,E,Carmen vio una representación teatral.,Carmen odió a la vendedora en el cine durante la película.,13
SI,E,Lo que Pedro hizo fue un secuestro.,Pablo secuestró la turista en el aeropuerto durante una hora.,13
NO,E,LLegaron a casa después del aconecher.,Los campesinos llegaron cansado a casa justo antes del anochecer.,13
NO,E,María iba en bicicleta.,María transportó una mochilera en la furgoneta durante un día.,13
SI,A,Isabel miraba por la ventana.,Isabel vió la estudiante desde su ventana durante una mañana.,13
NO,E,Lucía y su compañero estaban en el salón.,Lucía ofreció un café a su compañero en la cocina.,13
NO,E,Alejandro estaba en el centro comercial.,Alejandro identificó una agresora en el aeropuerto en dos horas.,13
NO,E,El coche era azul.,El coche rojo aparcó frente a la casa de Marta.,13
SI,A,Felipe es presentador de teatro.,Felipe anunció a la actuación en el escenario en cinco minutos.,13
NO,E,El avión despegó con retraso.,El avión despegó puntualmente a la siete de la mañana.,13
NO,E,Andrés contó una historia,Andrés cantó una canción a su hija antes de acostarla.,13
SI,A,La cena se preparó en casa.,Mi madre preparó la cena a toda la familia en casa.,13
NO,E,El combate duró varias horas.,Paula abatió la resistencia en el ring en pocos minutos.,13
SI,A,Había fuego en la plaza.,Carlos quemó a la página en la plaza en pocos minutos.,13
NO,E,El dueño fue reconocido por su gato.,El perro corrió felizmente a su dueño cuando le reconoció.,13
SI,A,Laura se fue a Inglaterra.,Laura se fue de vacaciones a Londres la semana pasada.,13
NO,E,Carlos tardó mucho en hacer el asalto.,Carlos asaltó a la conductora en el barrio en pocos instantes.,13
NO,E,El beso tuvo lugar en un museo.,Francisco besó la novia en la iglesia durante unos segundos.,13
SI,A,Anna estaba en la escuela.,Anna comprendió una maestra en la escuela en dos minutos.,13
SI,A,Helena estaba jugando un partido de fútbol.,Helena derribó una futbolista en el campo durante el partido.,13
SI,A,Ayer estudiaron matemáticas.,Nos sentamos juntos para estudiando matemáticas toda la tarde ayer.,13
NO,E,Viajan a Argentina cada invierno.,Mis padres viajan en avión a Argentina cada verano.,13
SI,E,Clara fue a la farmacia con su hermana.,Clara fue con su hermanas a la farmacia después del desayuno.,13
SI,A,El gato está sobre la manta cerca del sofá.,El gato duerme tranquilo sobre la manta cerca del sofá.,13
SI,A,Hubo un asedio en la región.,Carla asedió a la contrincante en la región durante bastante tiempo.,13
NO,E,El autobus llegó puntual.,El autobús llegó con retraso a la parada equivocada del centro.,13
SI,A,Martin estaba en el hospital.,Martín buscó a una médica en el hospital durante dos horas.,13
SI,A,Emma pasó semanas investigando.,Emma investigó una empresaria en la ciudad durante varias semanas.,13
NO,E,Luis envió un paquete a su hermano.,Luis envíe un paquete a su primo en Alemania.,13
SI,A,Ellos corren en el centro.,Ellos corren todas las mañanas por el parque del centro.,13
NO,E,La acción tuvo lugar en el parque.,Simón pateó la jugadora en la cancha en un instante.,13
NO,E,El tren llegó con retraso.,El tren llegó puntual a la estación bajo la lluvia.,13
No,E,El bebé dormía plácidamente.,El bebé lloraba constantemente durante la noche sin razón aparente.,13
SI,A,Ana estaba en la biblioteca.,Nos encontramos con Ana después de clase en la biblioteca.,13
SI,A,Maria y su hermana estaban en la biblioteca.,María dio el libro su hermana en la biblioteca.,13
SI,A,Lucia estaba en un bar.,Lucía destrozó a la mesa en el bar en diez minutos.,13
SI,A,El camarero sonrió.,El camarero trajo el cuenta a los clientes con una sonrisa.,13
NO,E,El niño juega solo en el parque.,El niño juega en el parque con su mejor amigo.,13
NO,E,La guerra duró más de dos años.,Valentina venció a una adversaria en la guerra en dos años.,13
SI,A,Ana escribió la carta desde la playa.,Ana escribió una carta a su abuela desde la playa.,13
NO,E,Pedro observó durante unos minutos.,Pedro observó la secretaria en la oficina durante una hora.,13
SI,A,La acción tuvo lugar en la calle.,Juan golpeó a una actriz en la calle en diez segundos.,13
SI,A,Valeria fue a un concierto.,Valeria admiró la escenografía en el teatro durante el concierto.,13
SI,A,Helena estaba en el patio.,Helena colgó la criminal en el patio en cinco minutos.,13
NO,E,Ayer fueron al teatro.,Ayer fueron al cine a ver una película divertida.,13
NO,E,Carlos tardó mucho en hacer el asalto.,Carlos asaltó a la camioneta en el barrio en pocos instantes.,14
NO,E,Alejandro estaba en el centro comercial.,Alejandro identificó la amenaza en el aeropuerto en dos horas.,14
SI,A,El bebé sonrió a su madre.,El bebé sonreí dulcemente a su madre desde la cuna.,14
NO,E,El coche era azul.,El coche rojo aparcó frente a la casa de Marta.,14
SI,A,Maria y su hermana estaban en la biblioteca.,María dio el libro su hermana en la biblioteca.,14
SI,E,Felipe es presentador de teatro.,Felipe anunció a una cantante en el escenario en cinco minutos.,14
NO,E,El profesor y los alumnos estaban fuera del aula.,El profesor explicó la lección los alumnos en clase.,14
NO,E,Viajan a Argentina cada invierno.,Mis padres viajan en avión a Argentina cada verano.,14
NO,E,Miguel tuvo que esperar una semana.,Miguel recibió a una invitada en la casa en un día.,14
NO,E,Ayer fueron al teatro.,Ayer fueron al cine a ver una película divertida.,14
SI,A,La acción tuvo lugar en la calle.,Juan golpeó a la piedra en la calle en diez segundos.,14
SI,A,Helena estaba en el patio.,Helena colgó la criminal en el patio en cinco minutos.,14
SI,A,Clara fue a la farmacia con su hermana.,Clara fue con su hermanas a la farmacia después del desayuno.,14
NO,E,La guerra duró más de dos años.,Valentina venció a una adversaria en la guerra en dos años.,14
NO,E,El combate duró varias horas.,Paula abatió a la resistencia en el ring en pocos minutos.,14
SI,A,Emma pasó semanas investigando.,Emma investigó a una empresaria en la ciudad durante varias semanas.,14
NO,E,Lucía y su compañero estaban en el salón.,Lucía ofreció un café a su compañero en la cocina.,14
NO,E,Andrés contó una historia,Andrés cantó una canción a su hija antes de acostarla.,14
SI,A,Martin estaba en el hospital.,Martín buscó la médica en el hospital durante dos horas.,14
SI,A,Ana estaba en la biblioteca.,Nos encontramos con Ana después de clase en la biblioteca.,14
SI,E,El gato está sobre la manta cerca del sofá.,El gato duerme tranquilo sobre la manta cerca del sofá.,14
SI,A,Anna estaba en la escuela.,Anna comprendió la tarea en la escuela en dos minutos.,14
No,E,El bebé dormía plácidamente.,El bebé lloraba constantemente durante la noche sin razón aparente.,14
SI,A,Hubo un asedio en la región.,Carla asedió a la contrincante en la región durante bastante tiempo.,14
NO,E,LLegaron a casa después del aconecher.,Los campesinos llegaron cansado a casa justo antes del anochecer.,14
SI,E,Ellos corren en el centro.,Ellos corren todas las mañanas por el parque del centro.,14
SI,A,Lucia estuvo en una pelea de bar.,Lucía destrozó a la oponente en el bar en diez minutos.,14
SI,A,Ana escribió la carta desde la playa.,Ana escribió una carta a su abuela desde la playa.,14
NO,E,María iba en bicicleta.,María transportó una mochilera en la furgoneta durante un día.,14
NO,E,El autobus llegó puntual.,El autobús llegó con retraso a la parada equivocada del centro.,14
SI,A,La cena se preparó en casa.,Mi madre preparó la cena a toda la familia en casa.,14
NO,E,El dueño fue reconocido por su gato.,El perro corrió felizmente a su dueño cuando le reconoció.,14
NO,E,Pedro observó durante unos minutos.,Pedro observó a la secretaria en la oficina durante una hora.,14
NO,E,El beso tuvo lugar en un museo.,Francisco besó una novia en la iglesia durante unos segundos.,14
SI,A,Isabel miraba por la ventana.,Isabel vió una estudiante desde su ventana durante una mañana.,14
NO,E,El niño juega solo en el parque.,El niño juega en el parque con su mejor amigo.,14
NO,E,Luis envió un paquete a su hermano.,Luis envíe un paquete a su primo en Alemania.,14
NO,E,Carmen vio una representación teatral.,Carmen odió a la vendedora en el cine durante la película.,14
SI,A,Laura se fue a Inglaterra.,Laura se fue de vacaciones a Londres la semana pasada.,14
SI,A,El camarero sonrió.,El camarero trajo el cuenta a los clientes con una sonrisa.,14
SI,A,Había fuego en la plaza.,Carlos quemó a una bruja en la plaza en pocos minutos.,14
SI,A,Helena estaba jugando un partido de fútbol.,Helena derribó a la futbolista en el campo durante el partido.,14
NO,E,El avión despegó con retraso.,El avión despegó puntualmente a la siete de la mañana.,14
SI,A,Valeria fue a un concierto.,Valeria admiró a la escenografía en el teatro durante el concierto.,14
NO,E,La acción tuvo lugar en el parque.,Simón pateó la pelota en la cancha en un instante.,14
NO,E,El tren llegó con retraso.,El tren llegó puntual a la estación bajo la lluvia.,14
SI,A,Ayer estudiaron matemáticas.,Nos sentamos juntos para estudiando matemáticas toda la tarde ayer.,14
SI,A,Lo que Pedro hizo fue un secuestro.,Pablo secuestró a la camioneta en el aeropuerto durante una hora.,14
SI,A,Lo que Pedro hizo fue un secuestro.,Pablo secuestró la camioneta en el aeropuerto durante una hora.,15
SI,A,La cena se preparó en casa.,Mi madre preparó la cena a toda la familia en casa.,15
NO,E,María iba en bicicleta.,María transportó la mochilera en la furgoneta durante un día.,15
SI,A,Maria y su hermana estaban en la biblioteca.,María dio el libro su hermana en la biblioteca.,15
NO,E,Pedro observó durante unos minutos.,Pedro observó la planta en la oficina durante una hora.,15
NO,E,Alejandro estaba en el centro comercial.,Alejandro identificó a la amenaza en el aeropuerto en dos horas.,15
SI,A,Laura se fue a Inglaterra.,Laura se fue de vacaciones a Londres la semana pasada.,15
SI,E,Felipe es presentador de teatro.,Felipe anunció una cantante en el escenario en cinco minutos.,15
SI,A,Ana escribió la carta desde la playa.,Ana escribió una carta a su abuela desde la playa.,15
NO,E,El profesor y los alumnos estaban fuera del aula.,El profesor explicó la lección los alumnos en clase.,15
NO,E,Carmen vio una representación teatral.,Carmen odió una vendedora en el cine durante la película.,15
SI,A,La acción tuvo lugar en la calle.,Juan golpeó a la piedra en la calle en diez segundos.,15
SI,A,Ana estaba en la biblioteca.,Nos encontramos con Ana después de clase en la biblioteca.,15
NO,E,El tren llegó con retraso.,El tren llegó puntual a la estación bajo la lluvia.,15
SI,A,Emma pasó semanas investigando.,Emma investigó la epidemia en la ciudad durante varias semanas.,15
NO,E,El combate duró varias horas.,Paula abatió una contrincante en el ring en pocos minutos.,15
NO,E,Andrés contó una historia,Andrés cantó una canción a su hija antes de acostarla.,15
SI,E,Ellos corren en el centro.,Ellos corren todas las mañanas por el parque del centro.,15
SI,A,Anna estaba en la escuela.,Anna comprendió a la maestra en la escuela en dos minutos.,15
NO,E,Carlos tardó mucho en hacer el asalto.,Carlos asaltó a la conductora en el barrio en pocos instantes.,15
NO,E,Miguel tuvo que esperar una semana.,Miguel recibió la caja en la casa en un día.,15
SI,A,Ayer estudiaron matemáticas.,Nos sentamos juntos para estudiando matemáticas toda la tarde ayer.,15
SI,A,El bebé sonrió a su madre.,El bebé sonreí dulcemente a su madre desde la cuna.,15
NO,E,La acción tuvo lugar en el parque.,Simón pateó la jugadora en la cancha en un instante.,15
SI,A,Lucia estuvo en una pelea de bar.,Lucía destrozó a una oponente en el bar en diez minutos.,15
SI,A,Helena estaba jugando un partido de fútbol.,Helena derribó a la futbolista en el campo durante el partido.,15
NO,E,Lucía y su compañero estaban en el salón.,Lucía ofreció un café a su compañero en la cocina.,15
NO,E,El coche era azul.,El coche rojo aparcó frente a la casa de Marta.,15
NO,E,El autobus llegó puntual.,El autobús llegó con retraso a la parada equivocada del centro.,15
SI,A,Clara fue a la farmacia con su hermana.,Clara fue con su hermanas a la farmacia después del desayuno.,15
No,E,El bebé dormía plácidamente.,El bebé lloraba constantemente durante la noche sin razón aparente.,15
NO,E,La guerra duró más de dos años.,Valentina venció a la adversaria en la guerra en dos años.,15
SI,A,Isabel miraba por la ventana.,Isabel vió la tormenta desde su ventana durante una mañana.,15
SI,A,Martin estaba en el hospital.,Martín buscó a una médica en el hospital durante dos horas.,15
NO,E,LLegaron a casa después del aconecher.,Los campesinos llegaron cansado a casa justo antes del anochecer.,15
NO,E,El dueño fue reconocido por su gato.,El perro corrió felizmente a su dueño cuando le reconoció.,15
NO,E,El beso tuvo lugar en un museo.,Francisco besó a la cruz en la iglesia durante unos segundos.,15
SI,A,El camarero sonrió.,El camarero trajo el cuenta a los clientes con una sonrisa.,15
NO,E,El avión despegó con retraso.,El avión despegó puntualmente a la siete de la mañana.,15
NO,E,Luis envió un paquete a su hermano.,Luis envíe un paquete a su primo en Alemania.,15
NO,E,El niño juega solo en el parque.,El niño juega en el parque con su mejor amigo.,15
SI,E,Hubo un asedio en la región.,Carla asedió una contrincante en la región durante bastante tiempo.,15
NO,E,Viajan a Argentina cada invierno.,Mis padres viajan en avión a Argentina cada verano.,15
SI,A,El gato está sobre la manta cerca del sofá.,El gato duerme tranquilo sobre la manta cerca del sofá.,15
SI,A,Valeria fue a un concierto.,Valeria admiró la cantante en el teatro durante el concierto.,15
SI,A,Había fuego en la plaza.,Carlos quemó a la página en la plaza en pocos minutos.,15
NO,E,Ayer fueron al teatro.,Ayer fueron al cine a ver una película divertida.,15
SI,A,Helena estaba en el patio.,Helena colgó la criminal en el patio en cinco minutos.,15
NO,E,Ayer fueron al teatro.,Ayer fueron al cine a ver una película divertida.,16
NO,E,El beso tuvo lugar en un museo.,Francisco besó a una novia en la iglesia durante unos segundos.,16
SI,A,Laura se fue a Inglaterra.,Laura se fue de vacaciones a Londres la semana pasada.,16
No,E,El bebé dormía plácidamente.,El bebé lloraba constantemente durante la noche sin razón aparente.,16
SI,A,Helena estaba jugando un partido de fútbol.,Helena derribó la futbolista en el campo durante el partido.,16
NO,E,Lucía y su compañero estaban en el salón.,Lucía ofreció un café a su compañero en la cocina.,16
SI,A,El bebé sonrió a su madre.,El bebé sonreí dulcemente a su madre desde la cuna.,16
NO,E,Miguel tuvo que esperar una semana.,Miguel recibió a la caja en la casa en un día.,16
SI,E,Felipe es presentador de teatro.,Felipe anunció a una cantante en el escenario en cinco minutos.,16
SI,A,Clara fue a la farmacia con su hermana.,Clara fue con su hermanas a la farmacia después del desayuno.,16
NO,E,María iba en bicicleta.,María transportó a la guitarra en la furgoneta durante un día.,16
SI,A,La acción tuvo lugar en la calle.,Juan golpeó a la piedra en la calle en diez segundos.,16
NO,E,Andrés contó una historia,Andrés cantó una canción a su hija antes de acostarla.,16
SI,A,Hubo un asedio en la región.,Carla asedió a la contrincante en la región durante bastante tiempo.,16
NO,E,El avión despegó con retraso.,El avión despegó puntualmente a la siete de la mañana.,16
NO,E,Alejandro estaba en el centro comercial.,Alejandro identificó a la agresora en el aeropuerto en dos horas.,16
NO,E,La guerra duró más de dos años.,Valentina venció la adversaria en la guerra en dos años.,16
NO,E,El combate duró varias horas.,Paula abatió a la contrincante en el ring en pocos minutos.,16
NO,E,El autobus llegó puntual.,El autobús llegó con retraso a la parada equivocada del centro.,16
NO,E,Carmen vio una representación teatral.,Carmen odió la vendedora en el cine durante la película.,16
