acceptability,affectedness,answer,comprehension,hasQuestion,id,live_row,offline,practice,question,response,sentence,subject_nr,type,catalan,latin
0,no,0,0,0,38,15,no,no,0,"[0.5241043567657471, 1.0960402488708496, 0.36614990234375, 0.9176235198974609, 0.819727897644043, 0.671471118927002, 0.7637097835540771, 0.4340507984161377, 0.46291613578796387, 0.32964062690734863, 0.4149291515350342]",Unai amó a una jovencita en su pueblo durante varios años.,10,1,0,1
0,no,SI,A,1,100,16,no,no,Ellos corren en el centro.,"[0.6350104808807373, 0.3579850196838379, 0.34551143646240234, 0.8524930477142334, 0.528235673904419, 0.42893457412719727, 0.3414595127105713, 0.35270190238952637, 0.32175517082214355, 0.6816198825836182]",Ellos corren todas las mañanas por el parque del centro.,10,2,0,1
0,no,0,0,0,100,17,no,no,0,"[0.511009693145752, 0.36887240409851074, 0.2927119731903076, 0.39702701568603516, 0.43947577476501465, 0.46012234687805176, 0.7505097389221191, 0.7508177757263184, 0.48530054092407227, 0.4339427947998047]",El gato saltó a la mesa para robar la comida.,10,1,0,1
0,no,0,0,0,100,18,no,no,0,"[0.561279296875, 0.3972451686859131, 0.39545345306396484, 0.34275341033935547, 0.3500030040740967, 0.3366258144378662, 0.42192769050598145, 0.3601696491241455, 0.6574971675872803, 0.8016283512115479]",Los pájaros vuelan alto sobre los árboles en primavera alegre.,10,2,0,1
0,no,0,0,0,35,19,no,no,0,"[0.8577713966369629, 0.719588041305542, 0.34789204597473145, 0.3271524906158447, 0.3839735984802246, 0.4425036907196045, 0.31186866760253906, 0.458172082901001, 0.4060039520263672, 0.35797667503356934, 1.6546080112457275]",Carlos vigiló a una niña en la habitación durante unas horas.,10,1,0,1
0,no,SI,A,1,101,20,no,no,Clara fue a la farmacia con su hermana.,"[0.544407844543457, 0.37372732162475586, 0.357224702835083, 0.36138057708740234, 0.5150046348571777, 1.8653624057769775, 0.34113287925720215, 0.5343616008758545, 0.3792388439178467, 0.30675244331359863, 1.0435810089111328]",Clara fue con su hermanas a la farmacia después del desayuno.,10,1,0,1
0,no,SI,A,1,41,21,no,no,Emma pasó semanas investigando.,"[0.5530252456665039, 0.39046216011047363, 0.29396653175354004, 0.250293493270874, 0.22824931144714355, 0.4607429504394531, 0.32581543922424316, 0.24850249290466309, 0.2600107192993164, 0.5236172676086426, 0.46662092208862305]",Emma investigó a la empresaria en la ciudad durante varias semanas.,10,0,0,1
0,no,0,0,0,29,22,no,no,0,"[0.5577621459960938, 0.36233043670654297, 0.5545063018798828, 0.32251453399658203, 0.5615205764770508, 0.6141073703765869, 0.39448046684265137, 0.3238825798034668, 0.5691304206848145, 0.3312571048736572, 1.1984589099884033]",Alfonso miró a la estrella en la colina durante dos horas.,10,2,0,1
0,no,0,0,0,100,23,no,no,0,"[0.6021649837493896, 0.3387453556060791, 0.368436336517334, 0.39089035987854004, 0.4233818054199219, 0.41523241996765137, 0.6310513019561768, 0.32336854934692383, 0.3342471122741699, 0.30381035804748535, 0.2548391819000244]",El técnico reparó el ordenador a un cliente en la tienda.,10,0,0,1
0,no,0,0,0,101,24,no,no,0,"[0.596367597579956, 0.4816765785217285, 0.3925602436065674, 0.6532835960388184, 0.42670536041259766, 1.3317608833312988, 0.39279747009277344, 0.49985384941101074, 0.6063783168792725]",Pedro devolvió el libro la biblioteca el lunes pasado.,10,0,0,1
0,no,0,0,0,49,25,no,no,0,"[0.5962717533111572, 0.46655845642089844, 0.4036080837249756, 0.5563762187957764, 0.388500452041626, 2.659062385559082, 0.38654375076293945, 0.9460413455963135, 0.7511165142059326, 0.5345726013183594, 1.602649450302124]",Alba mencionó a la ciudad en el teatro tras varios minutos.,10,2,0,1
0,no,0,0,0,101,26,no,no,0,"[0.5118303298950195, 0.43834686279296875, 0.37729883193969727, 0.41306376457214355, 0.5218174457550049, 0.3499922752380371, 0.30330324172973633, 0.374009370803833, 0.4700300693511963]",Me gusta caminar la ciudad cuando hace buen tiempo.,10,2,0,1
0,no,0,0,0,101,27,no,no,0,"[0.4666430950164795, 0.42082667350769043, 0.5681912899017334, 1.0523760318756104, 0.3721785545349121, 0.4269099235534668, 0.575819730758667, 0.3780171871185303, 0.5353572368621826, 1.657411813735962]",El jefe convocó urgentemente a reunión a todos el empleados.,10,1,0,1
0,no,SI,A,1,0,28,no,no,La acción tuvo lugar en la calle.,"[0.5257916450500488, 0.6736323833465576, 0.43134188652038574, 0.6064975261688232, 0.38889384269714355, 0.41994190216064453, 0.36095166206359863, 0.46750903129577637, 0.5134055614471436, 1.3446621894836426]",Juan golpeó la piedra en la calle en diez segundos.,10,5,0,1
0,no,SI,A,1,39,29,no,no,Valeria fue a un concierto.,"[0.5598537921905518, 0.8999273777008057, 0.4099764823913574, 0.8511857986450195, 0.2753119468688965, 0.30081748962402344, 0.3212277889251709, 0.33011364936828613, 0.2757120132446289, 0.7118189334869385]",Valeria admiró la escenografía en el teatro durante el concierto.,10,5,0,1
0,no,SI,A,1,28,30,no,no,Anna estaba en la escuela.,"[0.3226649761199951, 0.8347125053405762, 0.37631750106811523, 0.3806300163269043, 0.42396998405456543, 0.36902332305908203, 0.34215664863586426, 0.4193837642669678, 0.33478236198425293, 0.30480432510375977, 0.508763313293457]",Anna comprendió a la tarea en la escuela en dos minutos.,10,2,0,1
0,no,0,0,0,17,31,no,no,0,"[0.4094069004058838, 0.40486931800842285, 0.5986757278442383, 0.3205854892730713, 0.5833432674407959, 0.3776819705963135, 0.32872772216796875, 0.430753231048584, 0.39625000953674316, 0.3480062484741211, 0.3840007781982422]",Luis zarandeó a la muñeca en la casa durante algunos minutos.,10,2,0,1
0,no,SI,A,1,101,32,no,no,Maria y su hermana estaban en la biblioteca.,"[0.7483229637145996, 0.3523447513580322, 0.2908446788787842, 0.31606388092041016, 0.355212926864624, 0.5596392154693604, 0.3626375198364258, 0.5095267295837402, 0.8009774684906006]",María dio el libro su hermana en la biblioteca.,10,0,0,1
0,no,NO,E,1,16,33,no,no,La guerra duró más de dos años.,"[0.6964225769042969, 0.6488518714904785, 0.4465041160583496, 0.8664453029632568, 0.4092447757720947, 0.5618267059326172, 0.4909040927886963, 0.5288228988647461, 0.4046471118927002, 0.14171600341796875]",Valentina venció una adversaria en la guerra en dos años.,10,4,0,1
0,no,0,0,0,101,34,no,no,0,"[0.4426388740539551, 0.4061717987060547, 0.6180300712585449, 0.4374690055847168, 0.36205434799194336, 0.8581037521362305, 0.8460659980773926, 0.40225863456726074, 0.5088798999786377, 0.3585834503173828]",Mi primo viaja sola por Europa durante el verano próximo.,10,2,0,1
0,no,0,0,0,44,35,no,no,0,"[0.787280797958374, 0.8877294063568115, 0.41335558891296387, 0.5880720615386963, 0.40320324897766113, 0.2621734142303467, 0.46797800064086914, 0.3125615119934082, 0.31364941596984863, 2.134921073913574]",Martín detectó la intrusa en el hospital en dos minutos.,10,3,0,1
0,no,0,0,0,100,36,no,no,0,"[0.5147504806518555, 0.3203704357147217, 0.3878207206726074, 0.346362829208374, 0.5061037540435791, 0.4860408306121826, 0.38402318954467773, 0.433927059173584, 0.4226386547088623]",El viento soplaba fuerte durante la tormenta de anoche.,10,2,0,1
0,no,NO,E,1,18,37,no,no,María iba en bicicleta.,"[0.5384030342102051, 0.3731856346130371, 0.41991400718688965, 0.35456037521362305, 0.4145526885986328, 0.3770930767059326, 0.44341039657592773, 0.39232587814331055, 0.3522012233734131, 0.4201083183288574]",María transportó la guitarra en la furgoneta durante un día.,10,5,0,1
0,no,SI,E,1,3,38,no,no,Lo que Pedro hizo fue un secuestro.,"[1.0409889221191406, 0.5600693225860596, 0.42731785774230957, 0.3766145706176758, 0.28709983825683594, 0.23652386665344238, 0.518242359161377, 0.4249730110168457, 0.23817920684814453, 0.8154270648956299]",Pablo secuestró la camioneta en el aeropuerto durante una hora.,10,5,0,1
0,no,SI,A,1,101,39,no,no,El camarero sonrió.,"[0.6299822330474854, 2.3031537532806396, 0.6357095241546631, 0.5372178554534912, 0.8860104084014893, 0.6347432136535645, 0.46590709686279297, 0.8203439712524414, 0.6012609004974365, 0.42418694496154785, 2.4041147232055664]",El camarero trajo el cuenta a los clientes con una sonrisa.,10,0,0,1
0,no,NO,E,1,100,40,no,no,Andrés contó una historia,"[0.5821685791015625, 0.7450003623962402, 0.3322868347167969, 0.4686870574951172, 0.28623223304748535, 0.21455717086791992, 0.3880727291107178, 0.3360915184020996, 0.23653411865234375, 0.5189909934997559]",Andrés cantó una canción a su hija antes de acostarla.,10,0,0,1
0,no,SI,A,1,15,41,no,no,Lucia estuvo en una pelea de bar.,"[0.47800159454345703, 0.4848647117614746, 0.3487720489501953, 0.28113722801208496, 0.28927111625671387, 0.4743473529815674, 0.2826046943664551, 0.2625710964202881, 0.43718552589416504, 0.3303046226501465, 0.7683942317962646]",Lucía destrozó a una oponente en el bar en diez minutos.,10,1,0,1
0,no,0,0,0,36,42,no,no,0,"[0.5288429260253906, 0.8677313327789307, 0.3647956848144531, 0.30415797233581543, 0.3174583911895752, 0.2811095714569092, 0.22979998588562012, 0.25876832008361816, 0.2242569923400879, 0.39040184020996094, 1.9595940113067627]",Irene oyó a la niña en la sala durante una noche.,10,0,0,1
0,no,SI,A,1,101,43,no,no,El bebé sonrió a su madre.,"[0.5284972190856934, 0.37018561363220215, 0.3169100284576416, 1.5520484447479248, 0.35293126106262207, 0.3310568332672119, 0.26351022720336914, 0.40205907821655273, 0.2740950584411621, 0.3851354122161865]",El bebé sonreí dulcemente a su madre desde la cuna.,10,1,0,1
0,no,NO,E,1,100,44,no,no,Viajan a Argentina cada invierno.,"[0.43961286544799805, 0.411515474319458, 0.33890390396118164, 0.2459406852722168, 0.2799968719482422, 0.2694709300994873, 0.3042745590209961, 0.367811918258667, 0.7781128883361816]",Mis padres viajan en avión a Argentina cada verano.,10,1,0,1
0,no,0,0,0,100,45,no,no,0,"[0.6497604846954346, 0.3894534111022949, 0.2882716655731201, 0.5981411933898926, 0.42009949684143066, 0.27414608001708984, 0.2733771800994873, 0.2790195941925049, 0.3659327030181885, 0.2894916534423828, 1.3124072551727295]",La lluvia cayó fuerte sobre el techo durante toda la noche.,10,2,0,1
0,no,NO,E,1,101,46,no,no,LLegaron a casa después del aconecher.,"[0.44144678115844727, 0.20245075225830078, 0.6450300216674805, 0.26082682609558105, 0.792351245880127, 0.3485434055328369, 0.2900876998901367, 0.32592082023620605, 0.23053216934204102, 0.550156831741333]",Los campesinos llegaron cansado a casa justo antes del anochecer.,10,1,0,1
0,no,SI,A,1,14,47,no,no,Helena estaba jugando un partido de fútbol.,"[0.5223946571350098, 0.42698192596435547, 0.39857983589172363, 0.247877836227417, 0.6339304447174072, 0.35129594802856445, 0.28380703926086426, 0.46883535385131836, 0.24212050437927246, 0.4866020679473877]",Helena derribó la futbolista en el campo durante el partido.,10,3,0,1
0,no,0,0,0,45,48,no,no,0,"[0.8268375396728516, 0.4742279052734375, 0.5034403800964355, 0.25484347343444824, 0.3200197219848633, 0.29583096504211426, 0.21902155876159668, 0.31236720085144043, 0.2539396286010742, 0.466266393661499]",Gabriela localizó una amiga en la ciudad en dos minutos.,10,4,0,1
0,no,0,0,0,4,49,no,no,0,"[0.6640775203704834, 0.96720290184021, 0.35312771797180176, 1.0585718154907227, 0.2669656276702881, 0.30284905433654785, 0.2928280830383301, 0.3008387088775635, 0.2987527847290039, 0.8349790573120117]",Jorge arrolló la ciclista en la calle en un segundo.,10,3,0,1
0,no,0,0,0,100,50,no,no,0,"[0.47112083435058594, 0.3477609157562256, 0.24363112449645996, 0.30614256858825684, 0.2991161346435547, 0.37461113929748535, 0.24854803085327148, 0.4710118770599365, 0.34589338302612305, 0.6580410003662109]",El avión aterrizó sin problemas en el aeropuerto de Madrid.,10,2,0,1
0,no,0,0,0,100,51,no,no,0,"[0.636631965637207, 0.3606715202331543, 0.34077906608581543, 0.44870924949645996, 0.34119415283203125, 0.3402993679046631, 0.27565813064575195, 0.29375338554382324, 0.29044485092163086, 0.4351058006286621]",El niño duerme tranquilo en su cama todas las noches.,10,2,0,1
0,no,0,0,0,100,52,no,no,0,"[0.3966648578643799, 0.4207766056060791, 0.38751697540283203, 0.3188364505767822, 0.3230419158935547, 0.319835901260376, 0.49052977561950684, 0.353287935256958, 0.340740442276001, 0.41623377799987793]",Isabel enseñó la receta a su prima en la cocina.,10,0,0,1
0,no,0,0,0,23,53,no,no,0,"[0.4883265495300293, 0.3542511463165283, 0.5102260112762451, 0.289752721786499, 0.29662418365478516, 0.8116462230682373, 0.4065570831298828, 0.2692420482635498, 0.43924427032470703, 0.6063590049743652, 0.32198619842529297]",Daniel remolcó a la enferma en la calle durante algunos minutos.,10,0,0,1
0,no,0,0,0,30,54,no,no,0,"[0.39049315452575684, 0.5164995193481445, 0.2512369155883789, 0.9851467609405518, 0.3191990852355957, 0.3775913715362549, 0.40831637382507324, 0.44910311698913574, 0.32620835304260254, 0.3529331684112549]",Carlos esperó una profesora en la esquina durante una hora.,10,4,0,1
0,no,0,0,0,43,55,no,no,0,"[0.45615696907043457, 0.43500590324401855, 0.6266200542449951, 0.4019589424133301, 0.302229642868042, 0.34653782844543457, 0.33443331718444824, 0.33779335021972656, 0.34351348876953125, 0.30895566940307617, 0.47582554817199707]",Sofía conoció a una chica en el colegio en dos días.,10,1,0,1
0,no,NO,E,1,100,56,no,no,Ayer fueron al teatro.,"[0.5948772430419922, 0.5001187324523926, 0.3962976932525635, 0.29305100440979004, 0.39693593978881836, 0.3027036190032959, 0.30938053131103516, 0.3717789649963379, 0.4235343933105469]",Ayer fueron al cine a ver una película divertida.,10,2,0,1
0,no,0,0,0,42,57,no,no,0,"[0.5437889099121094, 0.5111024379730225, 0.34484338760375977, 0.20328187942504883, 0.5003721714019775, 0.31780052185058594, 0.35837864875793457, 0.5840697288513184, 0.31722331047058105, 0.4915752410888672]",Ismael encontró una conocida en la carretera en pocas horas.,10,4,0,1
0,no,0,0,0,5,58,no,no,0,"[0.618262529373169, 0.6708364486694336, 0.2980818748474121, 0.2845909595489502, 0.37195634841918945, 0.34143543243408203, 0.3180985450744629, 0.4960927963256836, 0.28302907943725586, 0.2974402904510498, 0.4720175266265869]",Manuel abrazó a una señora en el parque en pocos instantes.,10,1,0,1
0,no,0,0,0,101,59,no,no,0,"[0.45343804359436035, 0.3504331111907959, 0.3289659023284912, 2.0790135860443115, 0.37433385848999023, 0.32424473762512207, 0.6320133209228516, 0.2674531936645508, 0.3486361503601074, 0.46782493591308594]",María se despertó sobresaltado a los gritos de su hermano.,10,1,0,1
0,no,0,0,0,100,60,no,no,0,"[0.5556685924530029, 0.9582946300506592, 0.34143543243408203, 0.2948791980743408, 0.4102005958557129, 0.3232874870300293, 0.2653341293334961, 0.19559264183044434, 0.625948429107666]",Carlos estornudó fuerte en medio de la reunión ayer.,10,2,0,1
0,no,0,0,0,100,61,no,no,0,"[0.6137359142303467, 0.4546535015106201, 0.19091415405273438, 0.4661087989807129, 0.28287792205810547, 0.283036470413208, 0.2138962745666504, 0.4515693187713623, 0.26088547706604004, 0.4434657096862793]",Rosa recomendó un libro a su colega durante el almuerzo.,10,0,0,1
0,no,0,0,0,100,62,no,no,0,"[0.48801684379577637, 0.24248623847961426, 0.37067413330078125, 0.2829759120941162, 0.35245227813720703, 0.37500667572021484, 0.35863208770751953, 0.33635568618774414, 0.29839134216308594, 0.44335436820983887]",Julia pasó la sal a su madre durante la cena.,10,0,0,1
0,no,0,0,0,100,63,no,no,0,"[0.3206355571746826, 0.29688429832458496, 0.26956939697265625, 0.3579580783843994, 0.29647111892700195, 0.30419206619262695, 0.25246691703796387, 0.3198864459991455, 0.2636129856109619, 0.3112642765045166]",El mensajero entregó el paquete a Marta en su casa.,10,0,0,1
0,no,0,0,0,47,64,no,no,0,"[0.2651064395904541, 0.49072742462158203, 0.29418373107910156, 0.24631810188293457, 0.4396383762359619, 0.3458259105682373, 0.4621586799621582, 0.2980945110321045, 0.4737870693206787, 0.2312462329864502]",Marta descartó la aspirante en la selección en un día.,10,3,0,1
0,no,NO,E,1,100,65,no,no,El coche era azul.,"[0.4331207275390625, 0.23856830596923828, 0.29031848907470703, 0.47261905670166016, 0.37202882766723633, 0.526357889175415, 0.37386298179626465, 0.25722193717956543, 0.32978248596191406, 0.4626164436340332]",El coche rojo aparcó frente a la casa de Marta.,10,2,0,1
0,no,NO,E,1,100,66,no,no,El niño juega solo en el parque.,"[0.43113183975219727, 0.24167847633361816, 0.5713009834289551, 0.26209092140197754, 0.27777862548828125, 0.2803661823272705, 0.3028590679168701, 0.3104252815246582, 0.25153589248657227, 1.0276248455047607]",El niño juega en el parque con su mejor amigo.,10,2,0,1
0,no,0,0,0,100,67,no,no,0,"[0.6604795455932617, 0.30460667610168457, 0.34250569343566895, 0.27803683280944824, 0.26583075523376465, 0.23744416236877441, 0.2517251968383789, 0.23095083236694336, 0.35559821128845215, 0.41054773330688477]",Vamos caminando todos los días a pie hasta el colegio.,10,1,0,1
0,no,No,E,1,100,68,no,no,El bebé dormía plácidamente.,"[0.41979026794433594, 0.3232278823852539, 0.974768877029419, 0.5835130214691162, 0.3678169250488281, 0.2791447639465332, 0.33673667907714844, 0.3001556396484375, 0.4397697448730469, 0.3888685703277588]",El bebé lloraba constantemente durante la noche sin razón aparente.,10,2,0,1
0,no,SI,A,1,100,69,no,no,Ana escribió la carta desde la playa.,"[0.6562845706939697, 0.4407498836517334, 0.2757234573364258, 0.2743949890136719, 0.3622262477874756, 0.2627294063568115, 0.3210422992706299, 0.3316969871520996, 0.32220005989074707, 0.4474058151245117]",Ana escribió una carta a su abuela desde la playa.,10,0,0,1
0,no,0,0,0,101,70,no,no,0,"[0.4327538013458252, 0.38135600090026855, 0.31888818740844727, 0.26120710372924805, 0.5287313461303711, 0.4466545581817627, 0.3334312438964844, 0.31215929985046387, 0.39232635498046875, 0.6537392139434814]",Jorge compró un regalo su novia en el centro comercial.,10,0,0,1
0,no,SI,E,1,9,71,no,no,Había fuego en la plaza.,"[0.6384532451629639, 0.2558887004852295, 0.3177151679992676, 0.2945280075073242, 0.28380274772644043, 0.2984647750854492, 0.290985107421875, 0.27192211151123047, 0.31836962699890137, 0.3533823490142822, 0.5383286476135254]",Carlos quemó a la página en la plaza en pocos minutos.,10,2,0,1
0,no,0,0,0,19,72,no,no,0,"[0.738572359085083, 1.4033291339874268, 0.46038389205932617, 0.341796875, 0.8772881031036377, 0.2718696594238281, 0.2934083938598633, 0.30181360244750977, 0.3393082618713379, 0.24466967582702637, 0.28856611251831055]",Lucas arrastró a la carreta en la calle por un tiempo.,10,2,0,1
0,no,0,0,0,10,73,no,no,0,"[0.660015344619751, 0.4960792064666748, 0.32585787773132324, 0.28044795989990234, 0.733799934387207, 0.3132205009460449, 0.30403923988342285, 0.5698866844177246, 0.4168970584869385, 0.4092714786529541]",Mateo eliminó la carpeta en el banco en pocos segundos.,10,5,0,1
0,no,0,0,0,33,74,no,no,0,"[0.5610561370849609, 0.4248054027557373, 0.5278546810150146, 0.29302120208740234, 0.300121545791626, 0.3240790367126465, 0.2951657772064209, 0.2773926258087158, 0.3004472255706787, 0.31597113609313965, 0.594754695892334]",Marco imaginó a la amiga en la playa durante dos minutos.,10,0,0,1
0,no,0,0,0,24,75,no,no,0,"[0.5834333896636963, 0.37799739837646484, 0.38597679138183594, 0.33587193489074707, 0.33802270889282227, 0.6585614681243896, 0.6293158531188965, 0.3571441173553467, 0.2616853713989258, 0.4239223003387451]",Coral guió la decisión en el palacio en una hora.,10,5,0,1
0,no,0,0,0,101,76,no,no,0,"[0.514094352722168, 0.4567286968231201, 0.41385650634765625, 0.37844419479370117, 0.3740711212158203, 0.3512461185455322, 0.33927345275878906, 0.5944337844848633, 0.7273590564727783, 0.37339234352111816]",Sara contó la historia a sus hijo antes de dormir.,10,0,0,1
0,no,0,0,0,26,77,no,no,0,"[0.4979691505432129, 0.7147746086120605, 0.32872557640075684, 0.30150294303894043, 0.4044616222381592, 0.39010167121887207, 0.39817190170288086, 0.3049600124359131, 0.45204782485961914, 0.4344470500946045]",Juan escuchó la alarma en el balcón durante una noche.,10,5,0,1
0,no,0,0,0,13,78,no,no,0,"[0.4289712905883789, 0.6137685775756836, 0.29299426078796387, 0.1980128288269043, 0.8703310489654541, 0.23335766792297363, 0.35463500022888184, 0.6333880424499512, 0.21916818618774414, 0.40917110443115234, 0.2860147953033447]",Martina atropelló a la anciana en el aparcamiento en pocos minutos.,10,0,0,1
0,no,NO,E,1,6,79,no,no,El beso tuvo lugar en un museo.,"[0.9435265064239502, 0.36929798126220703, 0.23099279403686523, 0.48417067527770996, 0.23588156700134277, 0.6658589839935303, 0.2066938877105713, 0.497117280960083, 0.3243899345397949, 0.3580968379974365, 0.6907806396484375]",Francisco besó a la cruz en la iglesia durante unos segundos.,10,2,0,1
0,no,NO,E,1,100,80,no,no,El tren llegó con retraso.,"[0.4380075931549072, 0.3964073657989502, 1.14996337890625, 0.3094477653503418, 0.337735652923584, 0.24231839179992676, 0.4753575325012207, 0.29445791244506836, 0.2551279067993164, 0.901287317276001]",El tren llegó puntual a la estación bajo la lluvia.,10,2,0,1
0,no,NO,E,1,1,81,no,no,Carlos tardó mucho en hacer el asalto.,"[0.5611920356750488, 0.31885838508605957, 0.18423986434936523, 0.14944028854370117, 0.45009422302246094, 0.16739892959594727, 0.3070807456970215, 0.345430850982666, 0.3633236885070801, 1.4795105457305908]",Carlos asaltó la camioneta en el barrio en pocos instantes.,10,5,0,1
