acceptability,id,type,live_row,sentence,subject_nr,catalan,latin,animate,indefinite,affected,DOM
4,44,3,2,Martín detectó la intrusa en el hospital en dos minutos.,12,1,0,1,0,0,0
0,16,2,3,Valentina venció a la resistencia en la guerra en dos años.,12,1,0,0,0,1,1
3,17,1,4,Luis zarandeó a una mujer en la casa durante algunos minutos.,12,1,0,1,1,1,1
1,33,2,5,Marco imaginó a la fiesta en la playa durante dos minutos.,12,1,0,0,0,0,1
4,46,5,6,Alejandro identificó la amenaza en el aeropuerto en dos horas.,12,1,0,0,0,0,0
2,22,1,7,Carla asedió a una contrincante en la región durante bastante tiempo.,12,1,0,1,1,1,1
0,40,2,8,Adrián percibió a la sombra detrás de él durante algunos minutos.,12,1,0,0,0,0,1
0,10,2,9,Mateo eliminó a la carpeta en el banco en pocos segundos.,12,1,0,0,0,1,1
4,25,4,10,Pedro observó una secretaria en la oficina durante una hora.,12,1,0,1,1,0,0
0,23,0,11,Daniel remolcó a la enferma en la calle durante algunos minutos.,12,1,0,1,0,1,1
3,34,4,12,Carmen odió una vendedora en el cine durante la película.,12,1,0,1,1,0,0
1,6,4,13,Francisco besó una novia en la iglesia durante unos segundos.,12,1,0,1,1,1,0
0,38,0,14,Unai amó a la jovencita en su pueblo durante varios años.,12,1,0,1,0,0,1
2,39,1,15,Valeria admiró a una cantante en el teatro durante el concierto.,12,1,0,1,1,0,1
4,29,3,16,Alfonso miró la granjera en la colina durante dos horas.,12,1,0,1,0,0,0
2,13,1,17,Martina atropelló a una anciana en el aparcamiento en pocos minutos.,12,1,0,1,1,1,1
1,24,5,18,Coral guió la decisión en el palacio en una hora.,12,1,0,0,0,1,0
4,48,4,19,Samuel descubrió una infiltrada en el museo en pocas horas.,12,1,0,1,1,0,0
1,43,0,20,Sofía conoció a la chica en el colegio en dos días.,12,1,0,1,0,0,1
4,35,5,21,Carlos vigiló la operación en la habitación durante unas horas.,12,1,0,0,0,0,0
1,42,5,22,Ismael encontró la dificultad en la carretera en pocas horas.,12,1,0,0,0,0,0
2,20,0,23,Claudia maltrató a la compañera en la casa durante varios años.,12,1,0,1,0,1,1
4,41,4,24,Emma investigó una empresaria en la ciudad durante varias semanas.,12,1,0,1,1,0,0
1,15,5,25,Lucía destrozó la mesa en el bar en diez minutos.,12,1,0,0,0,1,0
2,30,5,26,Carlos esperó la furgoneta en la esquina durante una hora.,12,1,0,0,0,0,0
1,8,0,27,Helena colgó a la criminal en el patio en cinco minutos.,12,1,0,1,0,1,1
2,18,1,28,María transportó a una mochilera en la furgoneta durante un día.,12,1,0,1,1,1,1
4,49,4,29,Alba mencionó una actriz en el teatro tras varios minutos.,12,1,0,1,1,0,0
4,37,3,30,Isabel vió la estudiante desde su ventana durante una mañana.,12,1,0,1,0,0,0
2,36,0,31,Irene oyó a la niña en la sala durante una noche.,12,1,0,1,0,0,1
0,7,3,32,Tomás empujó la vieja a la puerta en pocos segundos.,12,1,0,1,0,1,0
0,47,4,33,Marta descartó una aspirante en la selección en un día.,12,1,0,1,1,0,0
4,21,2,34,Hugo apaleó a la muñeca en la calle durante varios minutos.,12,1,0,0,0,1,1
3,19,5,35,Lucas arrastró la carreta en la calle por un tiempo.,12,1,0,0,0,1,0
4,5,2,36,Manuel abrazó a la planta en el parque en pocos instantes.,12,1,0,0,0,1,1
2,26,4,37,Juan escuchó una vecina en el balcón durante una noche.,12,1,0,1,1,0,0
1,2,3,38,Simón pateó la jugadora en la cancha en un instante.,12,1,0,1,0,1,0
1,14,0,39,Helena derribó a la futbolista en el campo durante el partido.,12,1,0,1,0,1,1
1,28,3,40,Anna comprendió la maestra en la escuela en dos minutos.,12,1,0,1,0,0,0
0,31,0,41,Miguel recibió a la invitada en la casa en un día.,12,1,0,1,0,0,1
4,12,1,42,Paula abatió a una contrincante en el ring en pocos minutos.,12,1,0,1,1,1,1
4,4,3,43,Jorge arrolló la ciclista en la calle en un segundo.,12,1,0,1,0,1,0
1,45,5,44,Gabriela localizó la bodega en la ciudad en dos minutos.,12,1,0,0,0,0,0
3,32,1,45,Martín buscó a una médica en el hospital durante dos horas.,12,1,0,1,1,0,1
4,0,1,46,Juan golpeó a una actriz en la calle en diez segundos.,12,1,0,1,1,1,1
0,27,5,47,Felipe anunció la actuación en el escenario en cinco minutos.,12,1,0,0,0,0,0
1,9,0,48,Carlos quemó a la bruja en la plaza en pocos minutos.,12,1,0,1,0,1,1
1,11,3,49,Valeria neutralizó la criminal en la frontera en cinco minutos.,12,1,0,1,0,1,0
3,23,4,0,Daniel remolcó una enferma en la calle durante algunos minutos.,13,1,0,1,1,1,0
4,38,1,1,Unai amó a una jovencita en su pueblo durante varios años.,13,1,0,1,1,0,1
3,10,3,2,Mateo eliminó la rehén en el banco en pocos segundos.,13,1,0,1,0,1,0
4,46,1,3,Alejandro identificó a una agresora en el aeropuerto en dos horas.,13,1,0,1,1,0,1
4,0,4,4,Juan golpeó una actriz en la calle en diez segundos.,13,1,0,1,1,1,0
3,27,3,5,Felipe anunció la cantante en el escenario en cinco minutos.,13,1,0,1,0,0,0
4,40,1,6,Adrián percibió a una mujer detrás de él durante algunos minutos.,13,1,0,1,1,0,1
3,29,4,7,Alfonso miró una granjera en la colina durante dos horas.,13,1,0,1,1,0,0
4,21,2,8,Hugo apaleó a la muñeca en la calle durante varios minutos.,13,1,0,0,0,1,1
3,35,5,9,Carlos vigiló la operación en la habitación durante unas horas.,13,1,0,0,0,0,0
3,33,4,10,Marco imaginó una amiga en la playa durante dos minutos.,13,1,0,1,1,0,0
3,26,5,11,Juan escuchó la alarma en el balcón durante una noche.,13,1,0,0,0,0,0
4,25,2,12,Pedro observó a la planta en la oficina durante una hora.,13,1,0,0,0,0,1
3,12,4,13,Paula abatió una contrincante en el ring en pocos minutos.,13,1,0,1,1,1,0
3,20,2,14,Claudia maltrató a la camiseta en la casa durante varios años.,13,1,0,0,0,1,1
4,24,1,15,Coral guió a una turista en el palacio en una hora.,13,1,0,1,1,1,1
1,8,2,16,Helena colgó a la fotografía en el patio en cinco minutos.,13,1,0,0,0,1,1
3,45,4,17,Gabriela localizó una amiga en la ciudad en dos minutos.,13,1,0,1,1,0,0
1,4,2,18,Jorge arrolló a la valla en la calle en un segundo.,13,1,0,0,0,1,1
4,44,1,19,Martín detectó a una intrusa en el hospital en dos minutos.,13,1,0,1,1,0,1
3,9,3,20,Carlos quemó la bruja en la plaza en pocos minutos.,13,1,0,1,0,1,0
3,36,5,21,Irene oyó la discusión en la sala durante una noche.,13,1,0,0,0,0,0
3,5,2,22,Manuel abrazó a la planta en el parque en pocos instantes.,13,1,0,0,0,1,1
4,39,5,23,Valeria admiró la escenografía en el teatro durante el concierto.,13,1,0,0,0,0,0
3,19,3,24,Lucas arrastró la víctima en la calle por un tiempo.,13,1,0,1,0,1,0
3,37,0,25,Isabel vió a la estudiante desde su ventana durante una mañana.,13,1,0,1,0,0,1
4,42,0,26,Ismael encontró a la conocida en la carretera en pocas horas.,13,1,0,1,0,0,1
1,16,3,27,Valentina venció la adversaria en la guerra en dos años.,13,1,0,1,0,1,0
1,13,3,28,Martina atropelló la anciana en el aparcamiento en pocos minutos.,13,1,0,1,0,1,0
1,1,5,29,Carlos asaltó la camioneta en el barrio en pocos instantes.,13,1,0,0,0,1,0
4,43,0,30,Sofía conoció a la chica en el colegio en dos días.,13,1,0,1,0,0,1
4,48,5,31,Samuel descubrió la tabla en el museo en pocas horas.,13,1,0,0,0,0,0
3,41,2,32,Emma investigó a la epidemia en la ciudad durante varias semanas.,13,1,0,0,0,0,1
3,6,3,33,Francisco besó la novia en la iglesia durante unos segundos.,13,1,0,1,0,1,0
4,18,5,34,María transportó la guitarra en la furgoneta durante un día.,13,1,0,0,0,1,0
4,17,2,35,Luis zarandeó a la muñeca en la casa durante algunos minutos.,13,1,0,0,0,1,1
4,2,0,36,Simón pateó a la jugadora en la cancha en un instante.,13,1,0,1,0,1,1
4,32,1,37,Martín buscó a una médica en el hospital durante dos horas.,13,1,0,1,1,0,1
1,22,0,38,Carla asedió a la contrincante en la región durante bastante tiempo.,13,1,0,1,0,1,1
3,15,4,39,Lucía destrozó una oponente en el bar en diez minutos.,13,1,0,1,1,1,0
4,30,0,40,Carlos esperó a la profesora en la esquina durante una hora.,13,1,0,1,0,0,1
4,14,0,41,Helena derribó a la futbolista en el campo durante el partido.,13,1,0,1,0,1,1
4,7,0,42,Tomás empujó a la vieja a la puerta en pocos segundos.,13,1,0,1,0,1,1
2,34,1,43,Carmen odió a una vendedora en el cine durante la película.,13,1,0,1,1,0,1
4,49,0,44,Alba mencionó a la actriz en el teatro tras varios minutos.,13,1,0,1,0,0,1
4,11,5,45,Valeria neutralizó la bomba en la frontera en cinco minutos.,13,1,0,0,0,1,0
3,31,3,46,Miguel recibió la invitada en la casa en un día.,13,1,0,1,0,0,0
3,47,4,47,Marta descartó una aspirante en la selección en un día.,13,1,0,1,1,0,0
4,3,5,48,Pablo secuestró la camioneta en el aeropuerto durante una hora.,13,1,0,0,0,1,0
4,28,1,49,Anna comprendió a una maestra en la escuela en dos minutos.,13,1,0,1,1,0,1
3,17,1,0,Luis zarandeó a una mujer en la casa durante algunos minutos.,14,1,0,1,1,1,1
4,32,3,1,Martín buscó la médica en el hospital durante dos horas.,14,1,0,1,0,0,0
1,48,2,2,Samuel descubrió a la tabla en el museo en pocas horas.,14,1,0,0,0,0,1
4,39,2,3,Valeria admiró a la escenografía en el teatro durante el concierto.,14,1,0,0,0,0,1
2,27,5,4,Felipe anunció la actuación en el escenario en cinco minutos.,14,1,0,0,0,0,0
3,28,2,5,Anna comprendió a la tarea en la escuela en dos minutos.,14,1,0,0,0,0,1
4,30,1,6,Carlos esperó a una profesora en la esquina durante una hora.,14,1,0,1,1,0,1
3,49,0,7,Alba mencionó a la actriz en el teatro tras varios minutos.,14,1,0,1,0,0,1
4,20,1,8,Claudia maltrató a una compañera en la casa durante varios años.,14,1,0,1,1,1,1
3,3,3,9,Pablo secuestró la turista en el aeropuerto durante una hora.,14,1,0,1,0,1,0
4,29,0,10,Alfonso miró a la granjera en la colina durante dos horas.,14,1,0,1,0,0,1
3,10,3,11,Mateo eliminó la rehén en el banco en pocos segundos.,14,1,0,1,0,1,0
3,26,4,12,Juan escuchó una vecina en el balcón durante una noche.,14,1,0,1,1,0,0
4,12,0,13,Paula abatió a la contrincante en el ring en pocos minutos.,14,1,0,1,0,1,1
4,11,5,14,Valeria neutralizó la bomba en la frontera en cinco minutos.,14,1,0,0,0,1,0
4,2,2,15,Simón pateó a la pelota en la cancha en un instante.,14,1,0,0,0,1,1
1,42,4,16,Ismael encontró una conocida en la carretera en pocas horas.,14,1,0,1,1,0,0
0,47,5,17,Marta descartó la sospecha en la selección en un día.,14,1,0,0,0,0,0
3,37,4,18,Isabel vió una estudiante desde su ventana durante una mañana.,14,1,0,1,1,0,0
2,44,4,19,Martín detectó una intrusa en el hospital en dos minutos.,14,1,0,1,1,0,0
4,21,2,20,Hugo apaleó a la muñeca en la calle durante varios minutos.,14,1,0,0,0,1,1
3,24,1,21,Coral guió a una turista en el palacio en una hora.,14,1,0,1,1,1,1
4,25,0,22,Pedro observó a la secretaria en la oficina durante una hora.,14,1,0,1,0,0,1
0,13,2,23,Martina atropelló a la carreta en el aparcamiento en pocos minutos.,14,1,0,0,0,1,1
1,34,2,24,Carmen odió a la música en el cine durante la película.,14,1,0,0,0,0,1
4,18,5,25,María transportó la guitarra en la furgoneta durante un día.,14,1,0,0,0,1,0
1,5,0,26,Manuel abrazó a la señora en el parque en pocos instantes.,14,1,0,1,0,1,1
1,23,0,27,Daniel remolcó a la enferma en la calle durante algunos minutos.,14,1,0,1,0,1,1
3,36,5,28,Irene oyó la discusión en la sala durante una noche.,14,1,0,0,0,0,0
1,31,5,29,Miguel recibió la caja en la casa en un día.,14,1,0,0,0,0,0
2,9,3,30,Carlos quemó la bruja en la plaza en pocos minutos.,14,1,0,1,0,1,0
3,16,1,31,Valentina venció a una adversaria en la guerra en dos años.,14,1,0,1,1,1,1
4,45,5,32,Gabriela localizó la bodega en la ciudad en dos minutos.,14,1,0,0,0,0,0
2,1,1,33,Carlos asaltó a una conductora en el barrio en pocos instantes.,14,1,0,1,1,1,1
2,46,4,34,Alejandro identificó una agresora en el aeropuerto en dos horas.,14,1,0,1,1,0,0
2,33,3,35,Marco imaginó la amiga en la playa durante dos minutos.,14,1,0,1,0,0,0
3,40,5,36,Adrián percibió la sombra detrás de él durante algunos minutos.,14,1,0,0,0,0,0
1,22,3,37,Carla asedió la contrincante en la región durante bastante tiempo.,14,1,0,1,0,1,0
1,8,4,38,Helena colgó una criminal en el patio en cinco minutos.,14,1,0,1,1,1,0
2,38,0,39,Unai amó a la jovencita en su pueblo durante varios años.,14,1,0,1,0,0,1
3,43,4,40,Sofía conoció una chica en el colegio en dos días.,14,1,0,1,1,0,0
2,7,4,41,Tomás empujó una vieja a la puerta en pocos segundos.,14,1,0,1,1,1,0
4,15,3,42,Lucía destrozó la oponente en el bar en diez minutos.,14,1,0,1,0,1,0
1,6,3,43,Francisco besó la novia en la iglesia durante unos segundos.,14,1,0,1,0,1,0
3,4,1,44,Jorge arrolló a una ciclista en la calle en un segundo.,14,1,0,1,1,1,1
2,41,5,45,Emma investigó la epidemia en la ciudad durante varias semanas.,14,1,0,0,0,0,0
4,19,1,46,Lucas arrastró a una víctima en la calle por un tiempo.,14,1,0,1,1,1,1
4,14,0,47,Helena derribó a la futbolista en el campo durante el partido.,14,1,0,1,0,1,1
3,35,2,48,Carlos vigiló a la operación en la habitación durante unas horas.,14,1,0,0,0,0,1
2,0,0,49,Juan golpeó a la actriz en la calle en diez segundos.,14,1,0,1,0,1,1
3,40,0,0,Adrián percibió a la mujer detrás de él durante algunos minutos.,15,0,0,1,0,0,1
1,45,3,1,Gabriela localizó la amiga en la ciudad en dos minutos.,15,0,0,1,0,0,0
3,21,2,2,Hugo apaleó a la muñeca en la calle durante varios minutos.,15,0,0,0,0,1,1
1,43,2,3,Sofía conoció a la verdad en el colegio en dos días.,15,0,0,0,0,0,1
2,33,0,4,Marco imaginó a la amiga en la playa durante dos minutos.,15,0,0,1,0,0,1
3,18,5,5,María transportó la guitarra en la furgoneta durante un día.,15,0,0,0,0,1,0
0,7,4,6,Tomás empujó una vieja a la puerta en pocos segundos.,15,0,0,1,1,1,0
4,36,1,7,Irene oyó a una niña en la sala durante una noche.,15,0,0,1,1,0,1
3,16,1,8,Valentina venció a una adversaria en la guerra en dos años.,15,0,0,1,1,1,1
4,38,1,9,Unai amó a una jovencita en su pueblo durante varios años.,15,0,0,1,1,0,1
1,4,3,10,Jorge arrolló la ciclista en la calle en un segundo.,15,0,0,1,0,1,0
1,14,2,11,Helena derribó a la barrera en el campo durante el partido.,15,0,0,0,0,1,1
2,49,0,12,Alba mencionó a la actriz en el teatro tras varios minutos.,15,0,0,1,0,0,1
4,17,2,13,Luis zarandeó a la muñeca en la casa durante algunos minutos.,15,0,0,0,0,1,1
3,34,5,14,Carmen odió la música en el cine durante la película.,15,0,0,0,0,0,0
4,10,1,15,Mateo eliminó a una rehén en el banco en pocos segundos.,15,0,0,1,1,1,1
1,22,0,16,Carla asedió a la contrincante en la región durante bastante tiempo.,15,0,0,1,0,1,1
4,37,5,17,Isabel vió la tormenta desde su ventana durante una mañana.,15,0,0,0,0,0,0
1,27,3,18,Felipe anunció la cantante en el escenario en cinco minutos.,15,0,0,1,0,0,0
0,44,2,19,Martín detectó a la enfermedad en el hospital en dos minutos.,15,0,0,0,0,0,1
4,1,0,20,Carlos asaltó a la conductora en el barrio en pocos instantes.,15,0,0,1,0,1,1
4,3,1,21,Pablo secuestró a una turista en el aeropuerto durante una hora.,15,0,0,1,1,1,1
2,29,2,22,Alfonso miró a la estrella en la colina durante dos horas.,15,0,0,0,0,0,1
1,0,4,23,Juan golpeó una actriz en la calle en diez segundos.,15,0,0,1,1,1,0
3,25,3,24,Pedro observó la secretaria en la oficina durante una hora.,15,0,0,1,0,0,0
3,6,5,25,Francisco besó la cruz en la iglesia durante unos segundos.,15,0,0,0,0,1,0
1,23,2,26,Daniel remolcó a la motocicleta en la calle durante algunos minutos.,15,0,0,0,0,1,1
2,31,5,27,Miguel recibió la caja en la casa en un día.,15,0,0,0,0,0,0
4,46,0,28,Alejandro identificó a la agresora en el aeropuerto en dos horas.,15,0,0,1,0,0,1
3,13,1,29,Martina atropelló a una anciana en el aparcamiento en pocos minutos.,15,0,0,1,1,1,1
4,48,0,30,Samuel descubrió a la infiltrada en el museo en pocas horas.,15,0,0,1,0,0,1
1,11,3,31,Valeria neutralizó la criminal en la frontera en cinco minutos.,15,0,0,1,0,1,0
4,20,1,32,Claudia maltrató a una compañera en la casa durante varios años.,15,0,0,1,1,1,1
1,26,3,33,Juan escuchó la vecina en el balcón durante una noche.,15,0,0,1,0,0,0
1,42,4,34,Ismael encontró una conocida en la carretera en pocas horas.,15,0,0,1,1,0,0
2,32,0,35,Martín buscó a la médica en el hospital durante dos horas.,15,0,0,1,0,0,1
4,41,5,36,Emma investigó la epidemia en la ciudad durante varias semanas.,15,0,0,0,0,0,0
1,28,3,37,Anna comprendió la maestra en la escuela en dos minutos.,15,0,0,1,0,0,0
0,24,0,38,Coral guió a la turista en el palacio en una hora.,15,0,0,1,0,1,1
1,30,4,39,Carlos esperó una profesora en la esquina durante una hora.,15,0,0,1,1,0,0
3,19,1,40,Lucas arrastró a una víctima en la calle por un tiempo.,15,0,0,1,1,1,1
0,39,5,41,Valeria admiró la escenografía en el teatro durante el concierto.,15,0,0,0,0,0,0
1,15,2,42,Lucía destrozó a la mesa en el bar en diez minutos.,15,0,0,0,0,1,1
2,47,4,43,Marta descartó una aspirante en la selección en un día.,15,0,0,1,1,0,0
3,12,3,44,Paula abatió la contrincante en el ring en pocos minutos.,15,0,0,1,0,1,0
3,8,5,45,Helena colgó la fotografía en el patio en cinco minutos.,15,0,0,0,0,1,0
1,5,4,46,Manuel abrazó una señora en el parque en pocos instantes.,15,0,0,1,1,1,0
1,35,4,47,Carlos vigiló una niña en la habitación durante unas horas.,15,0,0,1,1,0,0
3,2,4,48,Simón pateó una jugadora en la cancha en un instante.,15,0,0,1,1,1,0
