id,type,sentence,hasQuestion,question,answer
17,2,Luis zarandeó a la muñeca en la casa durante algunos minutos.,False,,
17,3,Luis zarandeó la mujer en la casa durante algunos minutos.,False,,
17,4,Luis zarandeó una mujer en la casa durante algunos minutos.,False,,
17,5,Luis zarandeó la muñeca en la casa durante algunos minutos.,False,,
18,0,María transportó a la mochilera en la furgoneta durante un día.,True,María iba en bicicleta.,NO
18,1,María transportó a una mochilera en la furgoneta durante un día.,True,María iba en bicicleta.,NO
18,2,María transportó a la guitarra en la furgoneta durante un día.,True,María iba en bicicleta.,NO
18,3,María transportó la mochilera en la furgoneta durante un día.,True,María iba en bicicleta.,NO
18,4,María transportó una mochilera en la furgoneta durante un día.,True,María iba en bicicleta.,NO
18,5,María transportó la guitarra en la furgoneta durante un día.,True,María iba en bicicleta.,NO
19,0,Lucas arrastró a la víctima en la calle por un tiempo.,False,,
19,1,Lucas arrastró a una víctima en la calle por un tiempo.,False,,
19,2,Lucas arrastró a la carreta en la calle por un tiempo.,False,,
19,3,Lucas arrastró la víctima en la calle por un tiempo.,False,,
19,4,Lucas arrastró una víctima en la calle por un tiempo.,False,,
19,5,Lucas arrastró la carreta en la calle por un tiempo.,False,,
20,0,Claudia maltrató a la compañera en la casa durante varios años.,False,,
20,1,Claudia maltrató a una compañera en la casa durante varios años.,False,,
20,2,Claudia maltrató a la camiseta en la casa durante varios años.,False,,
20,3,Claudia maltrató la compañera en la casa durante varios años.,False,,
20,4,Claudia maltrató una compañera en la casa durante varios años.,False,,
20,5,Claudia maltrató la camiseta en la casa durante varios años.,False,,
21,0,Hugo apaleó a la rebelde en la calle durante varios minutos.,False,,
21,1,Hugo apaleó a una rebelde en la calle durante varios minutos.,False,,
21,2,Hugo apaleó a la muñeca en la calle durante varios minutos.,False,,
21,3,Hugo apaleó la rebelde en la calle durante varios minutos.,False,,
21,4,Hugo apaleó una rebelde en la calle durante varios minutos.,False,,
21,5,Hugo apaleó la muñeca en la calle durante varios minutos.,False,,
22,0,Carla asedió a la contrincante en la región durante bastante tiempo.,True,Hubo un asedio en la región.,SI
22,1,Carla asedió a una contrincante en la región durante bastante tiempo.,True,Hubo un asedio en la región.,SI
22,2,Carla asedió a la ciudad en la región durante bastante tiempo.,True,Hubo un asedio en la región.,SI
22,3,Carla asedió la contrincante en la región durante bastante tiempo.,True,Hubo un asedio en la región.,SI
22,4,Carla asedió una contrincante en la región durante bastante tiempo.,True,Hubo un asedio en la región.,SI
22,5,Carla asedió la ciudad en la región durante bastante tiempo.,True,Hubo un asedio en la región.,SI
23,0,Daniel remolcó a la enferma en la calle durante algunos minutos.,False,,
23,1,Daniel remolcó a una enferma en la calle durante algunos minutos.,False,,
23,2,Daniel remolcó a la motocicleta en la calle durante algunos minutos.,False,,
23,3,Daniel remolcó la enferma en la calle durante algunos minutos.,False,,
23,4,Daniel remolcó una enferma en la calle durante algunos minutos.,False,,
23,5,Daniel remolcó la motocicleta en la calle durante algunos minutos.,False,,
24,0,Coral guió a la turista en el palacio en una hora.,False,,
24,1,Coral guió a una turista en el palacio en una hora.,False,,
24,2,Coral guió a la decisión en el palacio en una hora.,False,,
24,3,Coral guió la turista en el palacio en una hora.,False,,
24,4,Coral guió una turista en el palacio en una hora.,False,,
24,5,Coral guió la decisión en el palacio en una hora.,False,,
25,0,Pedro observó a la secretaria en la oficina durante una hora.,True,Pedro observó durante unos minutos.,NO
25,1,Pedro observó a una secretaria en la oficina durante una hora.,True,Pedro observó durante unos minutos.,NO
25,2,Pedro observó a la planta en la oficina durante una hora.,True,Pedro observó durante unos minutos.,NO
25,3,Pedro observó la secretaria en la oficina durante una hora.,True,Pedro observó durante unos minutos.,NO
25,4,Pedro observó una secretaria en la oficina durante una hora.,True,Pedro observó durante unos minutos.,NO
25,5,Pedro observó la planta en la oficina durante una hora.,True,Pedro observó durante unos minutos.,NO
26,0,Juan escuchó a la vecina en el balcón durante una noche.,False,,
26,1,Juan escuchó a una vecina en el balcón durante una noche.,False,,
26,2,Juan escuchó a la alarma en el balcón durante una noche.,False,,
26,3,Juan escuchó la vecina en el balcón durante una noche.,False,,
26,4,Juan escuchó una vecina en el balcón durante una noche.,False,,
26,5,Juan escuchó la alarma en el balcón durante una noche.,False,,
27,0,Felipe anunció a la cantante en el escenario en cinco minutos.,True,Felipe es presentador de teatro.,SI
27,1,Felipe anunció a una cantante en el escenario en cinco minutos.,True,Felipe es presentador de teatro.,SI
27,2,Felipe anunció a la actuación en el escenario en cinco minutos.,True,Felipe es presentador de teatro.,SI
27,3,Felipe anunció la cantante en el escenario en cinco minutos.,True,Felipe es presentador de teatro.,SI
27,4,Felipe anunció una cantante en el escenario en cinco minutos.,True,Felipe es presentador de teatro.,SI
27,5,Felipe anunció la actuación en el escenario en cinco minutos.,True,Felipe es presentador de teatro.,SI
28,0,Anna comprendió a la maestra en la escuela en dos minutos.,True,Anna estaba en la escuela.,SI
28,1,Anna comprendió a una maestra en la escuela en dos minutos.,True,Anna estaba en la escuela.,SI
28,2,Anna comprendió a la tarea en la escuela en dos minutos.,True,Anna estaba en la escuela.,SI
28,3,Anna comprendió la maestra en la escuela en dos minutos.,True,Anna estaba en la escuela.,SI
28,4,Anna comprendió una maestra en la escuela en dos minutos.,True,Anna estaba en la escuela.,SI
28,5,Anna comprendió la tarea en la escuela en dos minutos.,True,Anna estaba en la escuela.,SI
29,0,Alfonso miró a la granjera en la colina durante dos horas.,False,,
29,1,Alfonso miró a una granjera en la colina durante dos horas.,False,,
29,2,Alfonso miró a la estrella en la colina durante dos horas.,False,,
29,3,Alfonso miró la granjera en la colina durante dos horas.,False,,
29,4,Alfonso miró una granjera en la colina durante dos horas.,False,,
29,5,Alfonso miró la estrella en la colina durante dos horas.,False,,
30,0,Carlos esperó a la profesora en la esquina durante una hora.,False,,
30,1,Carlos esperó a una profesora en la esquina durante una hora.,False,,
30,2,Carlos esperó a la furgoneta en la esquina durante una hora.,False,,
30,3,Carlos esperó la profesora en la esquina durante una hora.,False,,
30,4,Carlos esperó una profesora en la esquina durante una hora.,False,,
30,5,Carlos esperó la furgoneta en la esquina durante una hora.,False,,
31,0,Miguel recibió a la invitada en la casa en un día.,True,Miguel tuvo que esperar una semana.,NO
31,1,Miguel recibió a una invitada en la casa en un día.,True,Miguel tuvo que esperar una semana.,NO
31,2,Miguel recibió a la caja en la casa en un día.,True,Miguel tuvo que esperar una semana.,NO
31,3,Miguel recibió la invitada en la casa en un día.,True,Miguel tuvo que esperar una semana.,NO
31,4,Miguel recibió una invitada en la casa en un día.,True,Miguel tuvo que esperar una semana.,NO
31,5,Miguel recibió la caja en la casa en un día.,True,Miguel tuvo que esperar una semana.,NO
32,0,Martín buscó a la médica en el hospital durante dos horas.,True,Martin estaba en el hospital.,SI
32,1,Martín buscó a una médica en el hospital durante dos horas.,True,Martin estaba en el hospital.,SI
32,2,Martín buscó a la escalera en el hospital durante dos horas.,True,Martin estaba en el hospital.,SI
32,3,Martín buscó la médica en el hospital durante dos horas.,True,Martin estaba en el hospital.,SI
32,4,Martín buscó una médica en el hospital durante dos horas.,True,Martin estaba en el hospital.,SI
32,5,Martín buscó la escalera en el hospital durante dos horas.,True,Martin estaba en el hospital.,SI
33,0,Marco imaginó a la amiga en la playa durante dos minutos.,False,,
33,1,Marco imaginó a una amiga en la playa durante dos minutos.,False,,
33,2,Marco imaginó a la fiesta en la playa durante dos minutos.,False,,
33,3,Marco imaginó la amiga en la playa durante dos minutos.,False,,
33,4,Marco imaginó una amiga en la playa durante dos minutos.,False,,
33,5,Marco imaginó la fiesta en la playa durante dos minutos.,False,,
34,0,Carmen odió a la vendedora en el cine durante la película.,True,Carmen vio una representación teatral.,NO
34,1,Carmen odió a una vendedora en el cine durante la película.,True,Carmen vio una representación teatral.,NO
34,2,Carmen odió a la música en el cine durante la película.,True,Carmen vio una representación teatral.,NO
34,3,Carmen odió la vendedora en el cine durante la película.,True,Carmen vio una representación teatral.,NO
34,4,Carmen odió una vendedora en el cine durante la película.,True,Carmen vio una representación teatral.,NO
34,5,Carmen odió la música en el cine durante la película.,True,Carmen vio una representación teatral.,NO
35,0,Carlos vigiló a la niña en la habitación durante unas horas.,False,,
35,1,Carlos vigiló a una niña en la habitación durante unas horas.,False,,
35,2,Carlos vigiló a la operación en la habitación durante unas horas.,False,,
35,3,Carlos vigiló la niña en la habitación durante unas horas.,False,,
35,4,Carlos vigiló una niña en la habitación durante unas horas.,False,,
35,5,Carlos vigiló la operación en la habitación durante unas horas.,False,,
36,0,Irene oyó a la niña en la sala durante una noche.,False,,
36,1,Irene oyó a una niña en la sala durante una noche.,False,,
36,2,Irene oyó a la discusión en la sala durante una noche.,False,,
36,3,Irene oyó la niña en la sala durante una noche.,False,,
36,4,Irene oyó una niña en la sala durante una noche.,False,,
36,5,Irene oyó la discusión en la sala durante una noche.,False,,
37,0,Isabel vió a la estudiante desde su ventana durante una mañana.,True,Isabel miraba por la ventana.,SI
37,1,Isabel vió a una estudiante desde su ventana durante una mañana.,True,Isabel miraba por la ventana.,SI
37,2,Isabel vió a la tormenta desde su ventana durante una mañana.,True,Isabel miraba por la ventana.,SI
37,3,Isabel vió la estudiante desde su ventana durante una mañana.,True,Isabel miraba por la ventana.,SI
37,4,Isabel vió una estudiante desde su ventana durante una mañana.,True,Isabel miraba por la ventana.,SI
37,5,Isabel vió la tormenta desde su ventana durante una mañana.,True,Isabel miraba por la ventana.,SI
38,0,Unai amó a la jovencita en su pueblo durante varios años.,False,,
38,1,Unai amó a una jovencita en su pueblo durante varios años.,False,,
38,2,Unai amó a la vida en su pueblo durante varios años.,False,,
38,3,Unai amó la jovencita en su pueblo durante varios años.,False,,
38,4,Unai amó una jovencita en su pueblo durante varios años.,False,,
38,5,Unai amó la vida en su pueblo durante varios años.,False,,
39,0,Valeria admiró a la cantante en el teatro durante el concierto.,True,Valeria fue a un concierto.,SI
39,1,Valeria admiró a una cantante en el teatro durante el concierto.,True,Valeria fue a un concierto.,SI
39,2,Valeria admiró a la escenografía en el teatro durante el concierto.,True,Valeria fue a un concierto.,SI
39,3,Valeria admiró la cantante en el teatro durante el concierto.,True,Valeria fue a un concierto.,SI
39,4,Valeria admiró una cantante en el teatro durante el concierto.,True,Valeria fue a un concierto.,SI
39,5,Valeria admiró la escenografía en el teatro durante el concierto.,True,Valeria fue a un concierto.,SI
40,0,Adrián percibió a la mujer detrás de él durante algunos minutos.,False,,
40,1,Adrián percibió a una mujer detrás de él durante algunos minutos.,False,,
40,2,Adrián percibió a la sombra detrás de él durante algunos minutos.,False,,
40,3,Adrián percibió la mujer detrás de él durante algunos minutos.,False,,
40,4,Adrián percibió una mujer detrás de él durante algunos minutos.,False,,
40,5,Adrián percibió la sombra detrás de él durante algunos minutos.,False,,
41,0,Emma investigó a la empresaria en la ciudad durante varias semanas.,True,Emma pasó semanas investigando.,SI
41,1,Emma investigó a una empresaria en la ciudad durante varias semanas.,True,Emma pasó semanas investigando.,SI
41,2,Emma investigó a la epidemia en la ciudad durante varias semanas.,True,Emma pasó semanas investigando.,SI
41,3,Emma investigó la empresaria en la ciudad durante varias semanas.,True,Emma pasó semanas investigando.,SI
41,4,Emma investigó una empresaria en la ciudad durante varias semanas.,True,Emma pasó semanas investigando.,SI
41,5,Emma investigó la epidemia en la ciudad durante varias semanas.,True,Emma pasó semanas investigando.,SI
42,0,Ismael encontró a la conocida en la carretera en pocas horas.,False,,
42,1,Ismael encontró a una conocida en la carretera en pocas horas.,False,,
42,2,Ismael encontró a la dificultad en la carretera en pocas horas.,False,,
42,3,Ismael encontró la conocida en la carretera en pocas horas.,False,,
42,4,Ismael encontró una conocida en la carretera en pocas horas.,False,,
42,5,Ismael encontró la dificultad en la carretera en pocas horas.,False,,
43,0,Sofía conoció a la chica en el colegio en dos días.,False,,
43,1,Sofía conoció a una chica en el colegio en dos días.,False,,
43,2,Sofía conoció a la verdad en el colegio en dos días.,False,,
43,3,Sofía conoció la chica en el colegio en dos días.,False,,
43,4,Sofía conoció una chica en el colegio en dos días.,False,,
43,5,Sofía conoció la verdad en el colegio en dos días.,False,,
44,0,Martín detectó a la intrusa en el hospital en dos minutos.,False,,
44,1,Martín detectó a una intrusa en el hospital en dos minutos.,False,,
44,2,Martín detectó a la enfermedad en el hospital en dos minutos.,False,,
44,3,Martín detectó la intrusa en el hospital en dos minutos.,False,,
44,4,Martín detectó una intrusa en el hospital en dos minutos.,False,,
44,5,Martín detectó la enfermedad en el hospital en dos minutos.,False,,
45,0,Gabriela localizó a la amiga en la ciudad en dos minutos.,False,,
45,1,Gabriela localizó a una amiga en la ciudad en dos minutos.,False,,
45,2,Gabriela localizó a la bodega en la ciudad en dos minutos.,False,,
45,3,Gabriela localizó la amiga en la ciudad en dos minutos.,False,,
45,4,Gabriela localizó una amiga en la ciudad en dos minutos.,False,,
45,5,Gabriela localizó la bodega en la ciudad en dos minutos.,False,,
46,0,Alejandro identificó a la agresora en el aeropuerto en dos horas.,True,Alejandro estaba en el centro comercial.,NO
46,1,Alejandro identificó a una agresora en el aeropuerto en dos horas.,True,Alejandro estaba en el centro comercial.,NO
46,2,Alejandro identificó a la amenaza en el aeropuerto en dos horas.,True,Alejandro estaba en el centro comercial.,NO
46,3,Alejandro identificó la agresora en el aeropuerto en dos horas.,True,Alejandro estaba en el centro comercial.,NO
46,4,Alejandro identificó una agresora en el aeropuerto en dos horas.,True,Alejandro estaba en el centro comercial.,NO
46,5,Alejandro identificó la amenaza en el aeropuerto en dos horas.,True,Alejandro estaba en el centro comercial.,NO
47,0,Marta descartó a la aspirante en la selección en un día.,False,,
47,1,Marta descartó a una aspirante en la selección en un día.,False,,
47,2,Marta descartó a la sospecha en la selección en un día.,False,,
47,3,Marta descartó la aspirante en la selección en un día.,False,,
47,4,Marta descartó una aspirante en la selección en un día.,False,,
47,5,Marta descartó la sospecha en la selección en un día.,False,,
48,0,Samuel descubrió a la infiltrada en el museo en pocas horas.,False,,
48,1,Samuel descubrió a una infiltrada en el museo en pocas horas.,False,,
48,2,Samuel descubrió a la tabla en el museo en pocas horas.,False,,
48,3,Samuel descubrió la infiltrada en el museo en pocas horas.,False,,
48,4,Samuel descubrió una infiltrada en el museo en pocas horas.,False,,
48,5,Samuel descubrió la tabla en el museo en pocas horas.,False,,
49,0,Alba mencionó a la actriz en el teatro tras varios minutos.,False,,
49,1,Alba mencionó a una actriz en el teatro tras varios minutos.,False,,
49,2,Alba mencionó a la ciudad en el teatro tras varios minutos.,False,,
49,3,Alba mencionó la actriz en el teatro tras varios minutos.,False,,
49,4,Alba mencionó una actriz en el teatro tras varios minutos.,False,,
49,5,Alba mencionó la ciudad en el teatro tras varios minutos.,False,,
